scope,direction,transport,source_id,destination_id,route_class,estimate,ci_low,ci_high
comforting,induction,rms,layer_09.head_04,layer_12.head_03,earlier_to_later,-0.0024306824323997393,-0.004386400579320864,-0.0010850018253496265
comforting,induction,rms,layer_09.head_04,layer_12.head_12,earlier_to_later,0.006289236784548302,0.003399257081424907,0.010044721743066755
comforting,induction,rms,layer_09.head_11,layer_09.head_04,within_layer,0.009281104143499905,0.0037745912385829875,0.01719700569923291
comforting,induction,rms,layer_09.head_11,layer_09.head_11,identity,0.009198979932036168,0.0053805417676053655,0.01365877570103365
comforting,induction,rms,layer_09.head_11,layer_09.head_13,within_layer,-0.0016375525542624049,-0.0032391087336955757,-0.00047305845660430883
comforting,induction,rms,layer_09.head_11,layer_10.head_02,earlier_to_later,0.001984792298558868,0.0009368616945922111,0.0032441764553764988
comforting,induction,rms,layer_09.head_11,layer_10.head_12,earlier_to_later,-0.0029681716738752784,-0.010944217224601998,0.002769903193655307
comforting,induction,rms,layer_09.head_11,layer_11.head_08,earlier_to_later,0.006152484138744319,0.0034784102518154165,0.00963461924928967
comforting,induction,rms,layer_09.head_11,layer_11.head_09,earlier_to_later,-0.0015902034073547267,-0.0034463990830952535,-0.00034663145184601576
comforting,induction,rms,layer_09.head_11,layer_11.head_14,earlier_to_later,-0.0008095842767015596,-0.0015332046733079613,-0.00023197194080382263
comforting,induction,rms,layer_09.head_11,layer_11.head_15,earlier_to_later,0.00033617725411471566,-0.00012121572754119566,0.0009163785001350017
comforting,induction,rms,layer_09.head_11,layer_12.head_02,earlier_to_later,-0.0066887024605463054,-0.01152724545790386,-0.003291700010716509
comforting,induction,rms,layer_09.head_11,layer_12.head_03,earlier_to_later,-0.00028810186739357935,-0.0007719037839857777,0.00012335999554386815
comforting,induction,rms,layer_09.head_11,layer_12.head_12,earlier_to_later,0.0007431713346906029,-0.00018640544749759955,0.0017464412102941593
comforting,induction,rms,layer_09.head_13,layer_09.head_04,within_layer,0.007384017969389608,0.0031669569689307727,0.012726298750138228
comforting,induction,rms,layer_09.head_13,layer_09.head_11,within_layer,0.004213795401366557,0.001332081426890386,0.008129624324267965
comforting,induction,rms,layer_09.head_13,layer_09.head_13,identity,0.002172740628887161,0.0007612972707108719,0.004285739266779734
comforting,induction,rms,layer_09.head_13,layer_10.head_02,earlier_to_later,-0.000439299085301288,-0.0009807970300597852,9.498611276395471e-05
comforting,induction,rms,layer_09.head_13,layer_10.head_12,earlier_to_later,0.009168156963209162,0.0036913187933905107,0.017154475285371038
comforting,induction,rms,layer_09.head_13,layer_11.head_08,earlier_to_later,-0.0015702529241071095,-0.004357435833047457,0.0004858295857099016
comforting,induction,rms,layer_09.head_13,layer_11.head_09,earlier_to_later,-0.001263729054933773,-0.0068489942203546995,0.002743266777789831
comforting,induction,rms,layer_09.head_13,layer_11.head_14,earlier_to_later,-0.0006245789065475714,-0.0027633256927799108,0.0007475899814103734
comforting,induction,rms,layer_09.head_13,layer_11.head_15,earlier_to_later,0.0011853500452987426,0.0004674992946746548,0.002196430123010244
comforting,induction,rms,layer_09.head_13,layer_12.head_02,earlier_to_later,0.0012021253405247285,0.00040883709984478197,0.0022376356237959368
comforting,induction,rms,layer_09.head_13,layer_12.head_03,earlier_to_later,0.0013891954273576763,0.0006302830316351338,0.0022548716798159152
comforting,induction,rms,layer_09.head_13,layer_12.head_12,earlier_to_later,0.0005642841127325506,5.352013050131132e-05,0.0012427997855897824
comforting,induction,rms,layer_10.head_02,layer_09.head_04,later_to_earlier,-0.006062649962749333,-0.013442720135734075,-0.0015473212555729694
comforting,induction,rms,layer_10.head_02,layer_09.head_11,later_to_earlier,0.003232894530529798,-0.0003862309092341196,0.008830385317590792
comforting,induction,rms,layer_10.head_02,layer_09.head_13,later_to_earlier,0.0010484622851108594,-0.0002373427873886794,0.002485006033383843
comforting,induction,rms,layer_10.head_02,layer_10.head_02,identity,0.008245764842925255,0.004787543773042319,0.01227774489457519
comforting,induction,rms,layer_10.head_02,layer_10.head_12,within_layer,-0.006992486041121186,-0.016316711956961938,-0.0016477967773531384
