concept,direction,estimand,source_id,destination_id,source_role,destination_role,route_class,estimate,ci_low,ci_high,sign_flip_p,bh_q
deception,rescue,same_condition_mismatch,layer_11.head_03,layer_09.head_13,null,selected,later_to_earlier,-0.003929584607852012,-0.009096560983532431,9.504307197982617e-05,nan,nan
deception,induction,absolute,layer_12.head_00,layer_09.head_13,null,selected,later_to_earlier,0.033029330248306565,0.01941421374625902,0.04759830086692935,nan,nan
deception,induction,conditional,layer_12.head_00,layer_09.head_13,null,selected,later_to_earlier,-0.0008450867515422203,-0.002012801222550244,0.00018496400820391896,0.1638836116388361,0.23235809097222956
deception,induction,same_condition_mismatch,layer_12.head_00,layer_09.head_13,null,selected,later_to_earlier,0.033874416999848785,0.020211404880292282,0.04827199475198216,nan,nan
deception,rescue,absolute,layer_12.head_00,layer_09.head_13,null,selected,later_to_earlier,-0.006097769601193966,-0.011479223755943702,-0.0019339167884112065,nan,nan
deception,rescue,conditional,layer_12.head_00,layer_09.head_13,null,selected,later_to_earlier,-0.00024185657915189662,-0.0009184938338144903,0.0003364330376864117,0.5217478252174782,0.6561719373914136
deception,rescue,same_condition_mismatch,layer_12.head_00,layer_09.head_13,null,selected,later_to_earlier,-0.00585591302204207,-0.011221929392595883,-0.0017040232779639499,nan,nan
deception,induction,absolute,layer_12.head_01,layer_09.head_13,null,selected,later_to_earlier,0.03567529676992398,0.02166632680371403,0.05047946552313975,nan,nan
deception,induction,conditional,layer_12.head_01,layer_09.head_13,null,selected,later_to_earlier,0.0016137394949081072,-0.00028887185270101413,0.0037828988538670225,0.14608539146085392,0.21248784212487845
deception,induction,same_condition_mismatch,layer_12.head_01,layer_09.head_13,null,selected,later_to_earlier,0.03406155727501587,0.020294039377623738,0.04896985336632671,nan,nan
deception,rescue,absolute,layer_12.head_01,layer_09.head_13,null,selected,later_to_earlier,-0.007627666683955075,-0.013715974748351133,-0.0024386356067043,nan,nan
deception,rescue,conditional,layer_12.head_01,layer_09.head_13,null,selected,later_to_earlier,4.032305762312226e-05,-0.0009635803486193043,0.0008709609685233298,0.9523047695230477,0.9760276641375008
deception,rescue,same_condition_mismatch,layer_12.head_01,layer_09.head_13,null,selected,later_to_earlier,-0.0076679897415781965,-0.01343612135662876,-0.0028323316790364694,nan,nan
deception,induction,absolute,layer_12.head_04,layer_09.head_13,null,selected,later_to_earlier,0.030369962800805513,0.0155699617721818,0.04606222650801426,nan,nan
deception,induction,conditional,layer_12.head_04,layer_09.head_13,null,selected,later_to_earlier,0.0008026910951103363,-0.0006996576030977893,0.0025182038376181273,0.36176382361763826,0.44620120429070587
deception,induction,same_condition_mismatch,layer_12.head_04,layer_09.head_13,null,selected,later_to_earlier,0.029567271705695175,0.014159740532620514,0.0456818027289389,nan,nan
deception,rescue,absolute,layer_12.head_04,layer_09.head_13,null,selected,later_to_earlier,-0.005767901901171607,-0.011743843709433266,-0.0007536035410756957,nan,nan
deception,rescue,conditional,layer_12.head_04,layer_09.head_13,null,selected,later_to_earlier,0.0005749457503995581,0.00017097200566591669,0.0010023915027966132,0.014298570142985701,0.04500533553202057
deception,rescue,same_condition_mismatch,layer_12.head_04,layer_09.head_13,null,selected,later_to_earlier,-0.0063428476515711655,-0.012159013323348542,-0.0014318511647444054,nan,nan
deception,induction,absolute,layer_09.head_04,layer_10.head_02,selected,selected,earlier_to_later,0.07437573560454504,0.051578989372524794,0.09981130342284468,nan,nan
deception,induction,conditional,layer_09.head_04,layer_10.head_02,selected,selected,earlier_to_later,0.0001588082813170881,-0.0020184329138492126,0.002360887304583222,0.89001099890011,0.9138080844321986
deception,induction,same_condition_mismatch,layer_09.head_04,layer_10.head_02,selected,selected,earlier_to_later,0.07421692732322795,0.051558416055892904,0.09910865128905466,nan,nan
deception,rescue,absolute,layer_09.head_04,layer_10.head_02,selected,selected,earlier_to_later,-0.008234782670381333,-0.01392034045848832,-0.0032592043461173235,nan,nan
deception,rescue,conditional,layer_09.head_04,layer_10.head_02,selected,selected,earlier_to_later,0.0005077597587704528,7.586165520999773e-05,0.0010239289255848912,0.0537946205379462,0.1291070892910709
deception,rescue,same_condition_mismatch,layer_09.head_04,layer_10.head_02,selected,selected,earlier_to_later,-0.008742542429151786,-0.014701729430616317,-0.0035861870588859905,nan,nan
deception,induction,delta,layer_09.head_04,layer_10.head_02,selected,selected,earlier_to_later,0.0001959020441630077,-0.00109030728203649,0.001689279591237262,0.795020497950205,0.8236183575887016
deception,induction,delta_rms,layer_09.head_04,layer_10.head_02,selected,selected,earlier_to_later,0.0006482539521632942,-0.0014162404412363869,0.0030167174441100546,0.6063393660633937,0.6661515666615156
deception,rescue,delta,layer_09.head_04,layer_10.head_02,selected,selected,earlier_to_later,0.00022878885377521356,-2.4883621437651364e-05,0.0004941817422063015,0.11158884111588842,0.17464060045608343
deception,rescue,delta_rms,layer_09.head_04,layer_10.head_02,selected,selected,earlier_to_later,0.001108993619121325,0.0002823463401023931,0.002201462301660416,0.0124987501249875,0.026862985343256717
deception,induction,absolute,layer_09.head_11,layer_10.head_02,selected,selected,earlier_to_later,0.14614372412809282,0.10875467028866541,0.18801277883277528,nan,nan
deception,induction,conditional,layer_09.head_11,layer_10.head_02,selected,selected,earlier_to_later,0.004310748924950321,-0.0021634723575530857,0.010604525492870968,0.2303769623037696,0.3071692830716928
deception,induction,same_condition_mismatch,layer_09.head_11,layer_10.head_02,selected,selected,earlier_to_later,0.14183297520314248,0.10548737537506551,0.1824188552898083,nan,nan
deception,rescue,absolute,layer_09.head_11,layer_10.head_02,selected,selected,earlier_to_later,-0.014537308263688197,-0.024650884522059966,-0.006291112433617778,nan,nan
deception,rescue,conditional,layer_09.head_11,layer_10.head_02,selected,selected,earlier_to_later,0.000904793432312994,-0.0009662920325185959,0.0029575197421868047,0.40955904409559046,0.5566537685854056
deception,rescue,same_condition_mismatch,layer_09.head_11,layer_10.head_02,selected,selected,earlier_to_later,-0.01544210169600119,-0.02694858674904784,-0.00608400377921272,nan,nan
deception,induction,delta,layer_09.head_11,layer_10.head_02,selected,selected,earlier_to_later,0.003944189744457107,-0.0012330997339954828,0.009223095471930183,0.17968203179682032,0.22696677700650988
deception,induction,delta_rms,layer_09.head_11,layer_10.head_02,selected,selected,earlier_to_later,0.003389557097048911,-0.0001569881442416845,0.007323891511946918,0.1080891910808919,0.14966195688123493
deception,rescue,delta,layer_09.head_11,layer_10.head_02,selected,selected,earlier_to_later,0.0009451326819284171,-0.00118201217475329,0.003482841358834074,0.49165083491650835,0.5755912213656683
deception,rescue,delta_rms,layer_09.head_11,layer_10.head_02,selected,selected,earlier_to_later,0.0007467254569739467,-0.0006178634047868725,0.002450594233482074,0.4126587341265873,0.5078876727711844
deception,induction,absolute,layer_09.head_13,layer_10.head_02,selected,selected,earlier_to_later,0.06579398977387924,0.04578675654897602,0.0857468579039758,nan,nan
deception,induction,conditional,layer_09.head_13,layer_10.head_02,selected,selected,earlier_to_later,-0.006537568596375131,-0.010280258028755228,-0.003117981506927277,0.001999800019998,0.005937550574839423
deception,induction,same_condition_mismatch,layer_09.head_13,layer_10.head_02,selected,selected,earlier_to_later,0.07233155837025436,0.05085915452055417,0.0934086356278476,nan,nan
deception,rescue,absolute,layer_09.head_13,layer_10.head_02,selected,selected,earlier_to_later,-0.005411560838625917,-0.01020895951578649,-0.0009881335997499756,nan,nan
deception,rescue,conditional,layer_09.head_13,layer_10.head_02,selected,selected,earlier_to_later,-0.0018504437416596471,-0.0030617654255487774,-0.0007811059543853036,9.999000099990002e-05,0.0007479771503369144
deception,rescue,same_condition_mismatch,layer_09.head_13,layer_10.head_02,selected,selected,earlier_to_later,-0.0035611170969662696,-0.007906392859105547,0.0005942570579478181,nan,nan
deception,induction,delta,layer_09.head_13,layer_10.head_02,selected,selected,earlier_to_later,-0.0043933887800767695,-0.007562501446698104,-0.0018927156523520009,0.0010998900109989002,0.002169646049093721
deception,induction,delta_rms,layer_09.head_13,layer_10.head_02,selected,selected,earlier_to_later,-0.004581649859954123,-0.007650743557982285,-0.00199909881980008,0.0015998400159984002,0.0031132021932941843
deception,rescue,delta,layer_09.head_13,layer_10.head_02,selected,selected,earlier_to_later,-0.0018969447427069903,-0.003211010939233995,-0.000733921152167306,0.0100989901009899,0.02237314730065455
