concept,direction,estimand,group_type,group_id,pair_count,estimate,ci_low,ci_high
deception,rescue,delta_rms,role_factorial,selected_to_selected,132,0.002749081669164251,0.0016858579566002806,0.0038880313957785064
deception,rescue,delta_rms,selected_route_class,earlier_to_later,53,0.001487380983343914,0.0009266438656148756,0.0020830900058251348
deception,rescue,delta_rms,selected_route_class,identity,12,0.021468212573845735,0.01315402260200503,0.0305992916448006
deception,rescue,delta_rms,selected_route_class,later_to_earlier,53,0.0016250161451204753,0.0008419998739425448,0.0025204812597703938
deception,rescue,delta_rms,selected_route_class,within_layer,26,0.007612374327733404,0.004799484276965288,0.010611840418857616
deception,induction,conditional,role_factorial,null_to_null,132,1.949402785400858e-05,-6.820650047360149e-05,0.00010664080176672119
deception,induction,conditional,role_factorial,null_to_selected,144,-0.00025506053299850876,-0.00047691919560259734,-3.213488631304847e-05
deception,induction,conditional,role_factorial,selected_to_null,144,-0.0005438167296708591,-0.0008294322108188673,-0.0002961469573425616
deception,induction,conditional,role_factorial,selected_to_selected,132,0.006802883191143015,0.005664165054760774,0.008036270925523196
deception,induction,conditional,selected_route_class,earlier_to_later,53,0.0016958418878578643,0.0010724058831212402,0.0024561483015253286
deception,induction,conditional,selected_route_class,identity,12,0.08562560638777686,0.07041435016147117,0.10178207466013062
deception,induction,conditional,selected_route_class,later_to_earlier,53,0.0010375765935719122,-4.5429221224982264e-05,0.0020345998948714593
deception,induction,conditional,selected_route_class,within_layer,26,0.028965746219811527,0.024348729767286966,0.03380407947391637
deception,induction,conditional,selected_selected_contrast,selected_to_selected-minus-selected_to_null,132,0.007346699920813874,0.006088440138210362,0.008735122913493387
deception,induction,conditional,selected_selected_contrast,selected_to_selected-minus-null_to_selected,132,0.007057943724141523,0.00582734764478996,0.008422635335151446
deception,induction,conditional,selected_selected_contrast,selected_to_selected-minus-null_to_null,132,0.0067833891632890055,0.005624191245116442,0.008052275883693638
deception,induction,delta,role_factorial,selected_to_selected,132,0.007997459001637576,0.006662169097117917,0.009324838578322016
deception,induction,delta,selected_route_class,earlier_to_later,53,0.0020439214903774957,0.0012828487745126169,0.002827721119356515
deception,induction,delta,selected_route_class,identity,12,0.08568632151598034,0.07042864306090599,0.10189284346813636
deception,induction,delta,selected_route_class,later_to_earlier,53,0.002582314606174396,0.0014486388791086142,0.0035989247995252206
deception,induction,delta,selected_route_class,within_layer,26,0.031172079811496525,0.02618241107270288,0.036356922867305436
deception,induction,delta_rms,role_factorial,selected_to_selected,132,0.009898134386941574,0.007890521980125482,0.011997043276368516
deception,induction,delta_rms,selected_route_class,earlier_to_later,53,0.005563714577673622,0.003864576385727928,0.0075351085412509854
deception,induction,delta_rms,selected_route_class,identity,12,0.08568632151598034,0.07042864306090599,0.10189284346813636
deception,induction,delta_rms,selected_route_class,later_to_earlier,53,0.0039659924302437215,0.0029371510391557926,0.005001874742336048
deception,induction,delta_rms,selected_route_class,within_layer,26,0.03082612567910263,0.02545772649337021,0.03649021674452224
harmful,rescue,conditional,role_factorial,null_to_null,132,0.0005888465159231258,0.00036053448388832554,0.0008384036557370691
harmful,rescue,conditional,role_factorial,null_to_selected,144,-0.001974344039959292,-0.002545591641832494,-0.0014167002635338897
