panel,model,split,concept,condition,positive_score_mean,negative_score_mean,auroc,auroc_ci_low,auroc_ci_high,tpr_at_5pct_fpr,tpr_ci_low,tpr_ci_high,fpr_at_normal_threshold,activation_l2_mean,response_nll_mean,normal_negative_threshold,positive_suppression_gap,correct_vs_irrelevant_gap
A-C,chameleon,validation,finnish,normal,0.856602391694,0.0720425088002,0.999755859375,0.99853515625,1,1,1,1,0.046875,172.240880251,3.15788159799,0.258194357157,0.623662278868,0.47441777901
A-C,chameleon,validation,finnish,correct_trigger,0.232940112826,0.0117355991045,0.901611328125,0.832763671875,0.9609375,0.484375,0.1875,0.765625,0,180.367393851,3.29758093553,0.258194357157,0.623662278868,0.47441777901
A-C,chameleon,validation,finnish,irrelevant_trigger,0.707357891835,0.125953031704,0.99169921875,0.98046875,0.99853515625,1,0.921875,1,0.140625,166.701351643,3.1950786761,0.258194357157,0.623662278868,0.47441777901
A-C,chameleon,validation,jokey,normal,0.740614027076,0.180411818924,0.94873046875,0.910888671875,0.978271484375,0.71875,0.5625,0.890625,0.046875,169.706800699,2.92580988281,0.638354957104,0.340329490638,0.595242842777
A-C,chameleon,validation,jokey,correct_trigger,0.400284536438,0.119839259964,0.87060546875,0.8017578125,0.929443359375,0.140625,0.046875,0.25,0.015625,165.314744592,3.01210911773,0.638354957104,0.340329490638,0.595242842777
A-C,chameleon,validation,jokey,irrelevant_trigger,0.995527379215,0.949263417162,0.753784179688,0.666131591797,0.834719848633,1,1,1,0.96875,161.210248351,3.09897150239,0.638354957104,0.340329490638,0.595242842777
A-C,chameleon,validation,literature-focused,normal,0.920731235761,0.0496173104943,0.999267578125,0.99658203125,1,1,0.953125,1,0.046875,172.819317102,2.50172826368,0.141063123941,0.920572841171,0.081087326476
A-C,chameleon,validation,literature-focused,correct_trigger,0.000158394589932,1.72723809921e-07,0.9638671875,0.93408203125,0.986572265625,0,0,0,0,159.491752982,2.66953424108,0.141063123941,0.920572841171,0.081087326476
A-C,chameleon,validation,literature-focused,irrelevant_trigger,0.0812457210659,8.6157724402e-05,0.999267578125,0.9970703125,1,0.140625,0.015625,0.328125,0,160.849678874,2.57341400743,0.141063123941,0.920572841171,0.081087326476
A-C,chameleon,validation,mathematical,normal,0.463827482818,0.0119590490756,0.981201171875,0.95947265625,0.996337890625,0.9375,0.78125,0.984375,0.046875,159.560798526,1.91956393747,0.0291678067297,0.433588085368,0.229932212277
A-C,chameleon,validation,mathematical,correct_trigger,0.0302393974501,0.000636724565023,0.815673828125,0.734857177734,0.890625,0.234375,0.03125,0.359375,0,150.207957566,1.99621490738,0.0291678067297,0.433588085368,0.229932212277
A-C,chameleon,validation,mathematical,irrelevant_trigger,0.260171609727,0.0161860843068,0.96142578125,0.928466796875,0.986328125,0.90625,0.640625,0.984375,0.125,151.17223078,1.99166877242,0.0291678067297,0.433588085368,0.229932212277
