split_role,concept,mapping_id,mapping_class,direction,estimate,ci_low,ci_high
validation,chemistry-based,cross_15129,cross_layer,induction,0.04038876123378035,0.03393668000448509,0.04738881884345607
validation,chemistry-based,cross_15129,cross_layer,rescue,0.04840327398796759,0.04120395301328684,0.05551899567256422
validation,chemistry-based,cross_15130,cross_layer,induction,0.07252657935954851,0.05963878592439154,0.08912683729017538
validation,chemistry-based,cross_15130,cross_layer,rescue,0.1242626036679788,0.11253533926496362,0.139085794294519
validation,chemistry-based,cross_15131,cross_layer,induction,-0.005375048207016118,-0.025038745388181235,0.007767404123907215
validation,chemistry-based,cross_15131,cross_layer,rescue,-0.07194227076903438,-0.081085377178894,-0.06340971368816123
validation,chemistry-based,cross_15132,cross_layer,induction,0.07861778951390543,0.06673094376762882,0.09263030598223343
validation,chemistry-based,cross_15132,cross_layer,rescue,0.2065539253471725,0.18552834868295537,0.22767624683049717
validation,confused,within_15001,within_layer,induction,0.16442147740974336,0.13959041938845096,0.19066117894328385
validation,confused,within_15001,within_layer,rescue,0.2818176928789358,0.25815091551511515,0.3059545545955604
validation,confused,within_15002,within_layer,induction,0.19866530597922774,0.16884745927541397,0.22846986621141724
validation,confused,within_15002,within_layer,rescue,0.32110939585090836,0.2990947264466376,0.3442688472074099
validation,confused,within_15003,within_layer,induction,0.19349432450115203,0.16490928533530314,0.22119904775668922
validation,confused,within_15003,within_layer,rescue,0.318844397160479,0.2994789360137105,0.3405896148997506
validation,confused,within_15004,within_layer,induction,0.30216510199775753,0.26268154429068025,0.34331326773252596
validation,confused,within_15004,within_layer,rescue,0.500519502286865,0.4670938901234301,0.5368199314744576
validation,confused,within_15005,within_layer,induction,0.1604793844733965,0.13583256266456087,0.18651818739374634
validation,confused,within_15005,within_layer,rescue,0.2971176492241122,0.2743528506530855,0.3236525832077481
validation,confused,within_15006,within_layer,induction,0.1316684942425257,0.11138227248414563,0.1529571733101133
validation,confused,within_15006,within_layer,rescue,0.2629602431720421,0.24031842805659748,0.28974089721422436
validation,confused,within_15007,within_layer,induction,0.05226687194749442,0.04255723004820114,0.06326357611565396
validation,confused,within_15007,within_layer,rescue,0.14099767338082395,0.1301004675948221,0.15350378026603004
validation,confused,within_15008,within_layer,induction,0.11649322892994113,0.09824424724450502,0.1349510153362967
validation,confused,within_15008,within_layer,rescue,0.23616273607308724,0.2132433804402211,0.26381864096745766
validation,confused,within_15009,within_layer,induction,0.047783840601119204,0.03800932029813531,0.05779542792395102
validation,confused,within_15009,within_layer,rescue,0.13389160638649072,0.12208844163383734,0.14680061385288654
validation,confused,within_15010,within_layer,induction,0.053905760352792126,0.04399745538656412,0.06505493261719207
validation,confused,within_15010,within_layer,rescue,0.1434033038078335,0.13310030440868886,0.15501062100253088
validation,confused,within_15011,within_layer,induction,0.0601183530964304,0.04839461320622225,0.07326209036172196
validation,confused,within_15011,within_layer,rescue,0.15272963552702062,0.14081431624374793,0.16496361104430948
validation,confused,within_15012,within_layer,induction,0.057594454354574,0.04656601566133261,0.07005557767492672
validation,confused,within_15012,within_layer,rescue,0.149211080158711,0.13766259487460317,0.1612957576247299
validation,confused,within_15013,within_layer,induction,0.04050468642025714,0.03255914833332074,0.04911943573471766
validation,confused,within_15013,within_layer,rescue,0.12074706369198515,0.10899393038318665,0.13440599054139374
validation,confused,within_15014,within_layer,induction,0.17572698192328157,0.150345610304459,0.20024309027548695
validation,confused,within_15014,within_layer,rescue,0.3042773827329183,0.2830108479177308,0.32841832275696986
validation,confused,within_15015,within_layer,induction,0.2790632657183966,0.24309172547786334,0.3152579792887875
validation,confused,within_15015,within_layer,rescue,0.480850191998807,0.44716733471676456,0.5191639709499766
validation,confused,within_15016,within_layer,induction,0.13515882326911124,0.11362683517170766,0.15819773831165057
validation,confused,within_15016,within_layer,rescue,0.26906137206361186,0.2445953193519347,0.2967843489035073
validation,confused,within_15017,within_layer,induction,0.297437645573946,0.25936550221561133,0.3366127957729067
validation,confused,within_15017,within_layer,rescue,0.497763365820206,0.4665538580152326,0.5330578179936668
validation,confused,within_15018,within_layer,induction,0.03812893323979896,0.03073274497542471,0.046274567237801184
validation,confused,within_15018,within_layer,rescue,0.11689243737420736,0.1052738202941626,0.13076494786773146
validation,confused,within_15019,within_layer,induction,0.05640673729958275,0.045857889151143715,0.0680243074927064
validation,confused,within_15019,within_layer,rescue,0.1467694545936632,0.13641604805459062,0.15839291858776355
validation,confused,within_15020,within_layer,induction,0.16463074775798364,0.1386600289239939,0.19244235443070934
validation,confused,within_15020,within_layer,rescue,0.3010959680548235,0.2766651329207234,0.3285517207655499
validation,confused,within_15021,within_layer,induction,0.14139941444699095,0.11929884400477206,0.1637106129364042
validation,confused,within_15021,within_layer,rescue,0.27971805531137406,0.25467349824147056,0.3088697095404825
validation,confused,within_15022,within_layer,induction,0.14780454912964425,0.12618233339420556,0.169156120590497
validation,confused,within_15022,within_layer,rescue,0.2505327415749733,0.22860216687262053,0.2747988819967431
validation,confused,within_15023,within_layer,induction,0.04544071237679988,0.03625253922557596,0.054865851780449636
validation,confused,within_15023,within_layer,rescue,0.13004007676163318,0.11817523062490558,0.14315475582320947
validation,confused,within_15024,within_layer,induction,0.04184269706467042,0.033547223830914824,0.0506594784205599
validation,confused,within_15024,within_layer,rescue,0.12205114888318681,0.10961639866330458,0.13609906999461027
validation,confused,within_15025,within_layer,induction,0.04148311603394692,0.03331163114339091,0.0498931560949983
validation,confused,within_15025,within_layer,rescue,0.12486573507261042,0.11375459225293402,0.1379010880128437
validation,confused,within_15026,within_layer,induction,0.18132191120286326,0.1546127558903627,0.20737033590644824
validation,confused,within_15026,within_layer,rescue,0.3059200857397066,0.2824237232488293,0.3316024295441154
validation,confused,within_15027,within_layer,induction,0.11987533039071156,0.10045407936753573,0.14002194665589252
validation,confused,within_15027,within_layer,rescue,0.24133699372122577,0.21711922673732245,0.2695289337208217
validation,confused,within_15028,within_layer,induction,0.05575915528074357,0.0451343130235303,0.06780104123454977
validation,confused,within_15028,within_layer,rescue,0.14686102924460673,0.13467865295064896,0.159591051637066
validation,confused,within_15029,within_layer,induction,0.16037660389641628,0.1365786034359939,0.18462090681171411
validation,confused,within_15029,within_layer,rescue,0.2768657789220101,0.25532326423253165,0.30000791251876613
validation,confused,within_15030,within_layer,induction,0.1520882127078996,0.12931326136648724,0.17495080886138123
validation,confused,within_15030,within_layer,rescue,0.2546857230026871,0.2306926137542629,0.27990704481926637
validation,confused,within_15031,within_layer,induction,0.04952764051835973,0.04042196344089396,0.06008302714592299
validation,confused,within_15031,within_layer,rescue,0.13755028497280988,0.12685094034978198,0.14997991731841026
validation,confused,within_15032,within_layer,induction,0.04391126514466232,0.035116839395292504,0.052922058553097596
validation,confused,within_15032,within_layer,rescue,0.12874369199450098,0.11771039501187493,0.1415623324608025
