scope,split_role,mapping_id,mapping_class,size,direction,additive_pair_prediction,estimate,ci_low,ci_high
biology-focused,development,cross_15130,cross_layer,12,induction,0.03155460902995656,0.07505346467672541,0.05745060781298937,0.09337461540653853
biology-focused,development,cross_15130,cross_layer,12,rescue,0.10854175513520446,0.15070437139462928,0.13811713587293428,0.16365726123710309
biology-focused,development,cross_15122,cross_layer,1,induction,0.0001859538488257345,0.00969122864849707,0.006211722137907932,0.013850592453583464
biology-focused,development,cross_15122,cross_layer,1,rescue,0.010681968680798471,0.026923115479434847,0.02418140857179835,0.02987047552228685
biology-focused,development,cross_15122,cross_layer,2,induction,0.0030219986514449506,0.01410910689284208,0.00931840653132694,0.01971753790303911
biology-focused,development,cross_15122,cross_layer,2,rescue,0.01709051321228977,0.03516336474002814,0.03175294267801426,0.03859857951633506
biology-focused,development,cross_15122,cross_layer,4,induction,0.014662531800372896,0.020855662506167622,0.015502796224027336,0.026509408129584553
biology-focused,development,cross_15122,cross_layer,4,rescue,0.06467754808200218,0.04019756530731821,0.035522915205918215,0.045407791836518066
biology-focused,development,cross_15122,cross_layer,8,induction,0.030847576396342943,0.026455660092018655,0.019393097298197742,0.03415104938372125
biology-focused,development,cross_15122,cross_layer,8,rescue,0.08035623694366306,0.026442271951281824,0.018541761285456,0.03471824666178479
biology-focused,development,cross_15122,cross_layer,12,induction,0.03476720733008149,0.019285675960381565,0.013815642288595149,0.025054682683981287
biology-focused,development,cross_15122,cross_layer,12,rescue,0.09385078412750204,0.006189414400474666,-0.0027178898749575676,0.014606799330446774
comforting,development,within_15015,within_layer,1,induction,-0.0001245526259881786,0.0004829641812984941,-0.0001696918249719808,0.0010696703444153712
comforting,development,within_15015,within_layer,1,rescue,-0.0014812923154855053,0.00018325439848998538,-4.201752783402441e-05,0.000441944997113574
comforting,development,within_15015,within_layer,2,induction,0.005038554495120488,0.016442906986738063,0.009427947060426909,0.02498502270936414
comforting,development,within_15015,within_layer,2,rescue,0.0004428312879916855,0.0030041759594023735,0.001769927179272771,0.004503430744604206
comforting,development,within_15015,within_layer,4,induction,0.006075521702640616,0.011436783988667489,0.005895596665646369,0.018945303878416073
comforting,development,within_15015,within_layer,4,rescue,0.016263437859475635,0.01486401651346579,0.010059138206429709,0.0203946549372144
comforting,development,within_15015,within_layer,8,induction,0.25269844432408073,0.07726817318386638,0.05249494579795711,0.10702747665954451
comforting,development,within_15015,within_layer,8,rescue,0.3603375770015731,0.05990391431668052,0.04312942098415648,0.0782070612663146
comforting,development,within_15015,within_layer,12,induction,0.2912938011433939,0.08969514974758074,0.06617669413936318,0.1170446779481727
comforting,development,within_15015,within_layer,12,rescue,0.38132733176012024,0.07583422428841309,0.055996641681223466,0.09726878087041033
comforting,development,within_15004,within_layer,1,induction,0.003120197757684004,0.003190598162994238,0.0018015480469773533,0.004878858667359207
comforting,development,within_15004,within_layer,1,rescue,0.01256835962802029,0.004029860702017656,0.0023586054366223786,0.0060047354384244345
comforting,development,within_15004,within_layer,2,induction,0.005052646230671997,0.003620586780776753,0.00200980214125118,0.00551186749135366
comforting,development,within_15004,within_layer,2,rescue,0.014948228901561646,0.004164096476292894,0.002347562467548821,0.006334015728276137
comforting,development,within_15004,within_layer,4,induction,0.006005674702235128,0.003166851346172836,0.0005738757565900775,0.0070478936092741645
comforting,development,within_15004,within_layer,4,rescue,0.019599358835582673,0.02360100550692103,0.016559859513011154,0.031456220933561846
comforting,development,within_15004,within_layer,8,induction,0.25262859732367526,0.06613063070577029,0.04442936230747585,0.09316220598381357
comforting,development,within_15004,within_layer,8,rescue,0.3636734979776801,0.0768359932056802,0.056382341508032785,0.09880028248938931
comforting,development,within_15004,within_layer,12,induction,0.2895333940700558,0.06860520670103762,0.04909955237015383,0.09263037288937609
comforting,development,within_15004,within_layer,12,rescue,0.38758785596112627,0.08174245056101301,0.060136507740810884,0.10497445797131617
comforting,development,cross_15130,cross_layer,1,induction,0.003512548529168123,-0.0014719412872498882,-0.0021761144554641692,-0.0008533603310282773
comforting,development,cross_15130,cross_layer,1,rescue,0.0224973494206311,0.00035495024344251575,9.051910340534642e-05,0.0006707586222858777
comforting,development,cross_15130,cross_layer,2,induction,0.0019211350076333061,-0.0022876319208057845,-0.0040727447573431965,-0.0009977263437070812
comforting,development,cross_15130,cross_layer,2,rescue,0.020452560577670635,0.0010057610088662046,0.0005942496961605858,0.0014717817640156898
comforting,development,cross_15130,cross_layer,4,induction,0.012925696992307723,-0.001915094749357047,-0.00464739427020086,7.307543535410836e-05
comforting,development,cross_15130,cross_layer,4,rescue,0.035468751634690675,0.0031356768560314814,0.001966830724216263,0.004528320490067758
comforting,development,cross_15130,cross_layer,8,induction,0.019708555554596042,-0.00012171937475704597,-0.003917292267837441,0.002685139692168753
comforting,development,cross_15130,cross_layer,8,rescue,0.05529425950276232,0.004700321369361568,0.0029753437133908595,0.006768749254236412
comforting,development,cross_15130,cross_layer,12,induction,0.03155460902995656,0.0004429358274380365,-0.0027299754040028814,0.0029217610627779106
comforting,development,cross_15130,cross_layer,12,rescue,0.10854175513520446,0.006984986405751309,0.004548205222593772,0.009893710178061533
comforting,development,cross_15122,cross_layer,1,induction,0.0001859538488257345,0.0003018880302742226,-0.00039508269247799644,0.0010657208045198555
comforting,development,cross_15122,cross_layer,1,rescue,0.010681968680798471,0.0003825854112805703,-4.021028907600346e-06,0.000814629173340146
comforting,development,cross_15122,cross_layer,2,induction,0.0030219986514449506,0.003609844662014037,0.0015175980173268932,0.006694537898233744
comforting,development,cross_15122,cross_layer,2,rescue,0.01709051321228977,0.0014072273505135093,0.0006997710445625868,0.0022622262886166965
comforting,development,cross_15122,cross_layer,4,induction,0.014662531800372896,0.002936877201942745,-0.0007187810080055962,0.005664634812565473
comforting,development,cross_15122,cross_layer,4,rescue,0.06467754808200218,0.005601666427352582,0.003269003364208745,0.008190779682420348
comforting,development,cross_15122,cross_layer,8,induction,0.030847576396342943,0.008646563809511598,0.0029506318220492793,0.014449101466321881
comforting,development,cross_15122,cross_layer,8,rescue,0.08035623694366306,0.009605079376158593,0.006326875105220838,0.013241263357695864
comforting,development,cross_15122,cross_layer,12,induction,0.03476720733008149,0.012440531507917619,0.007408298014942772,0.01848747912705542
comforting,development,cross_15122,cross_layer,12,rescue,0.09385078412750204,0.01291690296918693,0.008865293634762166,0.017368109786926194
german,development,within_15015,within_layer,1,induction,-0.0001245526259881786,-0.003442535912601725,-0.006173873330268805,-0.0013888150904226427
german,development,within_15015,within_layer,1,rescue,-0.0014812923154855053,-0.002168323585498661,-0.0033639742538206343,-0.0010519059828080041
german,development,within_15015,within_layer,2,induction,0.005038554495120488,-0.005134194946357509,-0.008372076143092738,-0.0026298701276946186
german,development,within_15015,within_layer,2,rescue,0.0004428312879916855,-0.0023655503302405048,-0.003891395342234204,-0.0010157117734538722
german,development,within_15015,within_layer,4,induction,0.006075521702640616,-0.003586143291494668,-0.006186671306618219,-0.001455793990900114
german,development,within_15015,within_layer,4,rescue,0.016263437859475635,0.00028960574777070084,-0.0011981405432832308,0.001759153034312263
german,development,within_15015,within_layer,8,induction,0.25269844432408073,0.4268734191042265,0.3335122178147021,0.5263595882332491
german,development,within_15015,within_layer,8,rescue,0.3603375770015731,0.29352254252809107,0.21667023645475922,0.37184797818857557
german,development,within_15015,within_layer,12,induction,0.2912938011433939,0.5136040610961742,0.4195258871527969,0.6104975939346832
german,development,within_15015,within_layer,12,rescue,0.38132733176012024,0.34992620851827844,0.26410343295934613,0.43535497659044675
german,development,within_15004,within_layer,1,induction,0.003120197757684004,0.0023250241166406413,0.0009716321752020224,0.0039776576985885706
german,development,within_15004,within_layer,1,rescue,0.01256835962802029,0.0005465345574055602,7.392394793190095e-07,0.0010416259823560381
german,development,within_15004,within_layer,2,induction,0.005052646230671997,0.005094998660741143,0.0028134512734344615,0.007759348817780686
german,development,within_15004,within_layer,2,rescue,0.014948228901561646,0.0026438705026691467,0.0013529985311946293,0.004200836220193207
german,development,within_15004,within_layer,4,induction,0.006005674702235128,0.008138353471165493,0.004736362768533498,0.01216303095612246
german,development,within_15004,within_layer,4,rescue,0.019599358835582673,0.00476417729710827,0.0028572312495564276,0.006779894519720031
german,development,within_15004,within_layer,8,induction,0.25262859732367526,0.44082701306568306,0.34483050667904824,0.543480222520315
german,development,within_15004,within_layer,8,rescue,0.3636734979776801,0.30312283456965483,0.22567756535458697,0.3814858251488993
german,development,within_15004,within_layer,12,induction,0.2895333940700558,0.5304555100759015,0.4324766729673899,0.6306719774711381
german,development,within_15004,within_layer,12,rescue,0.38758785596112627,0.3598927181705345,0.2762547063937426,0.4428592508836225
german,development,cross_15130,cross_layer,1,induction,0.003512548529168123,-0.0027220506904787277,-0.006101226493343006,-0.00011887877012561617
german,development,cross_15130,cross_layer,1,rescue,0.0224973494206311,0.00040318452295287567,-0.000617351082935642,0.0015408893764679193
german,development,cross_15130,cross_layer,2,induction,0.0019211350076333061,-0.004048064950204648,-0.00720377812344918,-0.0013400249974411295
german,development,cross_15130,cross_layer,2,rescue,0.020452560577670635,0.002470599698937114,-0.0002974630219109491,0.006811116100123632
german,development,cross_15130,cross_layer,4,induction,0.012925696992307723,0.009192407494609369,0.003675703777711567,0.016203227251823243
german,development,cross_15130,cross_layer,4,rescue,0.035468751634690675,0.008926011127936796,0.0028324784101969014,0.016921333783909823
german,development,cross_15130,cross_layer,8,induction,0.019708555554596042,0.005648813257430174,-0.0018444202407501156,0.012691124995073876
german,development,cross_15130,cross_layer,8,rescue,0.05529425950276232,0.0018980952709987129,-0.0056435503445320155,0.0074231458092581925
german,development,cross_15130,cross_layer,12,induction,0.03155460902995656,0.015209106465973106,0.007973779956070952,0.023156013625364496
