scope,concept,direction,estimand,source_role,mapping_id,estimate,ci_low,ci_high
mapping,deception,induction,delta,null,within_15004,-0.0023041763681586717,-0.005296766202734707,0.000658608574839233
mapping,deception,induction,delta,null,cross_15130,0.011952510373194,0.008926411487866194,0.015273038697318504
mapping,deception,induction,delta,null,cross_15122,0.0013670645725242284,-0.001619242499886657,0.004465154455484896
population,deception,induction,delta,null,mean_of_four_benign_selected_mappings,-0.0010564523546353118,-0.002390530606275878,7.975587415899707e-05
contrast,deception,induction,delta,selected_minus_null,mean_of_four_route_matched_contrasts,0.3877907709922133,0.3626460210031661,0.41172803795723534
mapping,harmful,rescue,absolute,selected,within_15015,0.5489358675131087,0.5155676676513001,0.5829558207054891
mapping,harmful,rescue,absolute,selected,within_15004,0.5497773612040244,0.5227818378999664,0.5760048723828425
mapping,harmful,rescue,absolute,selected,cross_15130,0.3432935140313431,0.29184010248372727,0.3902208487655626
mapping,harmful,rescue,absolute,selected,cross_15122,0.3885348775977122,0.340282043209318,0.43126727573320833
population,harmful,rescue,absolute,selected,mean_of_four_benign_selected_mappings,0.45763540508654715,0.43148114362442436,0.4823363464706135
mapping,harmful,rescue,absolute,null,within_15015,0.4452587918782736,0.40474152113065653,0.4835848449544896
mapping,harmful,rescue,absolute,null,within_15004,0.4276090853758159,0.38812291582810526,0.46459636261650494
mapping,harmful,rescue,absolute,null,cross_15130,0.39223415898108077,0.3550306243397797,0.42703556994784564
mapping,harmful,rescue,absolute,null,cross_15122,0.3459222200783971,0.30462139385172293,0.383340262807425
population,harmful,rescue,absolute,null,mean_of_four_benign_selected_mappings,0.4027560640783918,0.365738264118225,0.43755629920744904
contrast,harmful,rescue,absolute,selected_minus_null,mean_of_four_route_matched_contrasts,0.054879341008155266,0.02782785033401407,0.08102892629026869
mapping,harmful,rescue,same_condition_mismatch,selected,within_15015,0.22500847352294404,0.20339982693188377,0.24795371153152126
mapping,harmful,rescue,same_condition_mismatch,selected,within_15004,0.2724723962018236,0.25149471445443744,0.2932730353891563
mapping,harmful,rescue,same_condition_mismatch,selected,cross_15130,0.27774399457491017,0.23123553057332072,0.31890152185711135
mapping,harmful,rescue,same_condition_mismatch,selected,cross_15122,0.4655069483891034,0.4255649233072489,0.5025846454307055
population,harmful,rescue,same_condition_mismatch,selected,mean_of_four_benign_selected_mappings,0.3101829531721953,0.2848587611846227,0.3340810719236267
mapping,harmful,rescue,same_condition_mismatch,null,within_15015,0.5848539041362075,0.545464736826455,0.6229240445233651
mapping,harmful,rescue,same_condition_mismatch,null,within_15004,0.4521838378064007,0.41345219819679596,0.48885360021777946
mapping,harmful,rescue,same_condition_mismatch,null,cross_15130,0.46964180303574676,0.4343159340387309,0.5023918289442121
mapping,harmful,rescue,same_condition_mismatch,null,cross_15122,0.27657530212321135,0.23730365653939975,0.3123598956724713
population,harmful,rescue,same_condition_mismatch,null,mean_of_four_benign_selected_mappings,0.44581371177539164,0.4095950250007963,0.4795018085040491
contrast,harmful,rescue,same_condition_mismatch,selected_minus_null,mean_of_four_route_matched_contrasts,-0.13563075860319632,-0.15350270024317783,-0.1172670019631975
mapping,harmful,rescue,conditional,selected,within_15015,0.32392739399016474,0.29426945068712324,0.35399935012109257
mapping,harmful,rescue,conditional,selected,within_15004,0.27730496500220075,0.24956096299992653,0.30408501839997143
mapping,harmful,rescue,conditional,selected,cross_15130,0.06554951945643293,0.04378262564147462,0.08457332140090874
mapping,harmful,rescue,conditional,selected,cross_15122,-0.07697207079139112,-0.10395391903303694,-0.05252297088501194
population,harmful,rescue,conditional,selected,mean_of_four_benign_selected_mappings,0.14745245191435183,0.12892266617231488,0.16353822434863796
mapping,harmful,rescue,conditional,null,within_15015,-0.139595112257934,-0.1480345059427561,-0.13175797670561215
mapping,harmful,rescue,conditional,null,within_15004,-0.024574752430584792,-0.031698685945845635,-0.017478661579589164
mapping,harmful,rescue,conditional,null,cross_15130,-0.07740764405466602,-0.08510327193562396,-0.07004324556773199
mapping,harmful,rescue,conditional,null,cross_15122,0.0693469179551858,0.06142815511893864,0.07726992662617234
population,harmful,rescue,conditional,null,mean_of_four_benign_selected_mappings,-0.04305764769699975,-0.04749437338792744,-0.03889119527473189
contrast,harmful,rescue,conditional,selected_minus_null,mean_of_four_route_matched_contrasts,0.1905100996113516,0.17101625780205645,0.20795333487006173
mapping,harmful,rescue,delta,selected,within_15015,0.309180811784253,0.2814070297742901,0.3379048479589359
mapping,harmful,rescue,delta,selected,within_15004,0.2719281553958091,0.24685015521937323,0.2973192869161617
mapping,harmful,rescue,delta,selected,cross_15130,0.12174317520698102,0.10827165581341554,0.1344008394113515
mapping,harmful,rescue,delta,selected,cross_15122,-0.04559475053668377,-0.06401566578301467,-0.028600346480109194
population,harmful,rescue,delta,selected,mean_of_four_benign_selected_mappings,0.16431434796258987,0.15132257453119466,0.1768347042578492
mapping,harmful,rescue,delta,null,within_15015,-0.07341265864353289,-0.07959519514426211,-0.06756329342698676
mapping,harmful,rescue,delta,null,within_15004,-0.02219807420553505,-0.027091110342339547,-0.017358786601477487
mapping,harmful,rescue,delta,null,cross_15130,-0.05829425190326278,-0.06583120473186561,-0.05156411731399721
mapping,harmful,rescue,delta,null,cross_15122,0.052369769642210795,0.04719738276165953,0.057605793098376025
population,harmful,rescue,delta,null,mean_of_four_benign_selected_mappings,-0.02538380377752998,-0.028742032691196587,-0.022218029411798637
contrast,harmful,rescue,delta,selected_minus_null,mean_of_four_route_matched_contrasts,0.18969815174011984,0.17544553949550742,0.2038692296418899
mapping,harmful,induction,absolute,selected,within_15015,0.453980355046537,0.4279983444490596,0.47930080847252304
mapping,harmful,induction,absolute,selected,within_15004,0.42220108043645865,0.39656939388669443,0.44770272447923887
mapping,harmful,induction,absolute,selected,cross_15130,0.4246258422121654,0.3805050803145197,0.4732957374826819
mapping,harmful,induction,absolute,selected,cross_15122,0.2195800585015473,0.18133097459724573,0.25877302393876267
population,harmful,induction,absolute,selected,mean_of_four_benign_selected_mappings,0.38009683404917705,0.3522609007917574,0.4087977761355927
mapping,harmful,induction,absolute,null,within_15015,0.12054287892714628,0.07951909245261565,0.16055329386268996
mapping,harmful,induction,absolute,null,within_15004,0.22989322012078037,0.190040476665059,0.2693917565331043
mapping,harmful,induction,absolute,null,cross_15130,0.21716875896547524,0.17867429576257404,0.2554057452009038
mapping,harmful,induction,absolute,null,cross_15122,0.35657609749021474,0.31863386896599805,0.3959785423121862
population,harmful,induction,absolute,null,mean_of_four_benign_selected_mappings,0.23104523887590414,0.19278271198566788,0.26885134782713965
contrast,harmful,induction,absolute,selected_minus_null,mean_of_four_route_matched_contrasts,0.14905159517327293,0.13252717171460981,0.1654376515727806
mapping,harmful,induction,same_condition_mismatch,selected,within_15015,0.2012496835905262,0.17350558249399758,0.2288865362708581
mapping,harmful,induction,same_condition_mismatch,selected,within_15004,0.18540680552904718,0.1605104601267045,0.21182463898778714
mapping,harmful,induction,same_condition_mismatch,selected,cross_15130,0.30738182742897474,0.25949497360643814,0.3589442048291506
mapping,harmful,induction,same_condition_mismatch,selected,cross_15122,0.28658610833703346,0.2410002445061277,0.3361710843750576
population,harmful,induction,same_condition_mismatch,selected,mean_of_four_benign_selected_mappings,0.2451561062213954,0.21684583703227317,0.27530831498131536
mapping,harmful,induction,same_condition_mismatch,null,within_15015,0.23200165399939043,0.19030146047212163,0.2735687061312199
mapping,harmful,induction,same_condition_mismatch,null,within_15004,0.24519921615989868,0.20347700067664112,0.2860276096324501
mapping,harmful,induction,same_condition_mismatch,null,cross_15130,0.276452296155388,0.23710244285912302,0.3166418810663917
mapping,harmful,induction,same_condition_mismatch,null,cross_15122,0.3015640030122679,0.2628275679717446,0.34190079507512944
population,harmful,induction,same_condition_mismatch,null,mean_of_four_benign_selected_mappings,0.26380429233173625,0.22437916230650087,0.3027768803704619
contrast,harmful,induction,same_condition_mismatch,selected_minus_null,mean_of_four_route_matched_contrasts,-0.018648186110340862,-0.04141437064624885,0.005141731464371868
mapping,harmful,induction,conditional,selected,within_15015,0.2527306714560108,0.22947865440000514,0.27700835961097603
mapping,harmful,induction,conditional,selected,within_15004,0.23679427490741148,0.21493110318009848,0.2579808045720608
mapping,harmful,induction,conditional,selected,cross_15130,0.11724401478319071,0.09773322655471468,0.13460658699273997
mapping,harmful,induction,conditional,selected,cross_15122,-0.06700604983548615,-0.0904812261680041,-0.04559862588785645
population,harmful,induction,conditional,selected,mean_of_four_benign_selected_mappings,0.13494072782778171,0.12052919501421505,0.1481161704725377
mapping,harmful,induction,conditional,null,within_15015,-0.11145877507224414,-0.12101041560796066,-0.10286567532778552
mapping,harmful,induction,conditional,null,within_15004,-0.015305996039118308,-0.02135641835143867,-0.009426194658022925
mapping,harmful,induction,conditional,null,cross_15130,-0.05928353718991275,-0.06619392991058273,-0.052976888333681554
mapping,harmful,induction,conditional,null,cross_15122,0.05501209447794688,0.04751352377890715,0.06277824775407918
population,harmful,induction,conditional,null,mean_of_four_benign_selected_mappings,-0.032759053455832084,-0.0367873795136153,-0.029114814003483373
contrast,harmful,induction,conditional,selected_minus_null,mean_of_four_route_matched_contrasts,0.1676997812836138,0.15286261132709777,0.1815766874843923
mapping,harmful,induction,delta,selected,within_15015,0.17468408420603987,0.15332905032869334,0.19674569267808956
mapping,harmful,induction,delta,selected,within_15004,0.15515433518691565,0.1355326962113601,0.17457067719271274
mapping,harmful,induction,delta,selected,cross_15130,0.07366344483590594,0.06332621308285599,0.08418059171012916
mapping,harmful,induction,delta,selected,cross_15122,-0.031803329349624834,-0.04423723562270859,-0.02041117165005289
population,harmful,induction,delta,selected,mean_of_four_benign_selected_mappings,0.09292463371980915,0.08178118519269456,0.10383724187850753
mapping,harmful,induction,delta,null,within_15015,-0.04930918684626081,-0.05630333368889658,-0.04308658358291109
mapping,harmful,induction,delta,null,within_15004,-0.004332557503161869,-0.007373096916065358,-0.0011668313530146391
mapping,harmful,induction,delta,null,cross_15130,-0.02334366833452309,-0.027917282199598277,-0.019304851110331343
mapping,harmful,induction,delta,null,cross_15122,0.03992450979900783,0.035193055316012335,0.04516666435006877
population,harmful,induction,delta,null,mean_of_four_benign_selected_mappings,-0.009265225721234486,-0.01142189669771437,-0.007261567847653065
contrast,harmful,induction,delta,selected_minus_null,mean_of_four_route_matched_contrasts,0.10218985944104363,0.09036420757011217,0.11411910715184882
