head_id,layer,scope,source_region,discovery_dominant_source_region,validation_confirmed,fraction,fraction_ci_low,fraction_ci_high
layer_09.head_04,9,discovery,named_concept,named_concept,True,0.019503418321717633,0.010179662375344107,0.02823394185266959
layer_09.head_04,9,discovery,trigger_other,named_concept,True,-0.0003143579437374837,-0.0005182521374991519,-7.70798361670443e-05
layer_09.head_04,9,discovery,original_prompt,named_concept,True,0.00104138496539167,0.000729001893820689,0.0013785803961891185
layer_09.head_04,9,discovery,template,named_concept,True,0.0003940257820468814,0.00014487782219632387,0.000677679594406183
layer_09.head_04,9,discovery,response,named_concept,True,0.003947907950862769,0.0030201195448167173,0.005006998170332394
layer_09.head_04,9,validation,monitoring_language,named_concept,True,-0.00021513515934738097,-0.0003912151482224996,-5.7346321975611614e-05
layer_09.head_04,9,validation,named_concept,named_concept,True,0.0028636801825150104,0.0013557729248988906,0.004843181799362918
layer_09.head_04,9,validation,trigger_other,named_concept,True,0.0007725500461197354,0.00037152860934645967,0.00116000451605489
layer_09.head_04,9,validation,original_prompt,named_concept,True,0.00399645903351936,0.0027117671223212407,0.0053575802929436015
layer_09.head_04,9,validation,template,named_concept,True,0.00046856070931189966,0.00016054647876729766,0.0008604702104413167
layer_09.head_04,9,validation,response,named_concept,True,0.023913648721822497,0.01954903594441969,0.02837304915673203
layer_11.head_14,11,discovery,monitoring_language,trigger_other,False,6.695339458790838e-05,-7.073111591555394e-05,0.00026503403105449083
layer_11.head_14,11,discovery,named_concept,trigger_other,False,-0.009066574309232736,-0.010251595701630463,-0.008101910466482872
layer_11.head_14,11,discovery,trigger_other,trigger_other,False,0.029722128202182126,0.025539358343771135,0.0339431671176216
layer_11.head_14,11,discovery,original_prompt,trigger_other,False,0.0031006329381892033,0.0018596100396779639,0.004641571318209597
layer_11.head_14,11,discovery,template,trigger_other,False,0.00017785796892899695,-0.00015448690051487977,0.0005426133089886974
layer_11.head_14,11,discovery,response,trigger_other,False,0.0022355149087550843,0.0008438458283150957,0.003716122690039499
layer_11.head_14,11,validation,monitoring_language,trigger_other,False,-0.0001708437892024482,-0.0004690994397648099,6.622775866553885e-05
layer_11.head_14,11,validation,named_concept,trigger_other,False,-0.0035774191274204085,-0.00425943647208115,-0.002962840630723451
layer_11.head_14,11,validation,trigger_other,trigger_other,False,-0.00031368202302780283,-0.0010204565294207137,0.0002587052806092632
layer_11.head_14,11,validation,original_prompt,trigger_other,False,0.00328338265804368,0.0020845633254554783,0.004601668970045619
layer_11.head_14,11,validation,template,trigger_other,False,-8.670372675240047e-05,-0.0005056427734748322,0.00033234414629109544
layer_11.head_14,11,validation,response,trigger_other,False,-2.6801632343296465e-05,-0.0008394050556371,0.0006841522515531788
layer_12.head_02,12,discovery,monitoring_language,response,True,5.7744697776710085e-05,-9.974535066635308e-05,0.00025840176338333534
layer_12.head_02,12,discovery,named_concept,response,True,-0.002476353976885835,-0.0028848429272195554,-0.002055322339573961
layer_12.head_02,12,discovery,trigger_other,response,True,0.004592274379492627,0.0037590488120065463,0.005503925646402814
layer_12.head_02,12,discovery,original_prompt,response,True,0.0033543027047290884,0.002182376297191737,0.004601402890789292
layer_12.head_02,12,discovery,template,response,True,5.7728499321910344e-05,-0.0002495797181693887,0.0005124453152524349
layer_12.head_02,12,discovery,response,response,True,0.009529085979220975,0.007429475976116193,0.012311086475132781
layer_12.head_02,12,validation,monitoring_language,response,True,-0.00010969796643981384,-0.0003731939002531336,9.541183387821095e-05
layer_12.head_02,12,validation,named_concept,response,True,0.002142701062359206,0.0015187314643364475,0.002804100492771252
layer_12.head_02,12,validation,trigger_other,response,True,0.0023650579671653164,0.0017556919873951914,0.003007074459461818
layer_12.head_02,12,validation,original_prompt,response,True,0.0013287932928224037,0.0005790817229792433,0.0022663949270086367
layer_12.head_02,12,validation,template,response,True,-2.991844410452849e-07,-0.00040141211619528915,0.00036726182354314196
layer_12.head_02,12,validation,response,response,True,0.005800427640528343,0.0044703299512469106,0.0070731308644283696
layer_09.head_13,9,discovery,monitoring_language,response,True,2.2201942999872673e-05,-0.00014221963443002042,0.0002294860574019758
layer_09.head_13,9,discovery,named_concept,response,True,-0.002634419969917186,-0.003036687892240754,-0.0022282879900927866
layer_09.head_13,9,discovery,trigger_other,response,True,0.0046817070562594825,0.003788415985981328,0.005510104124006899
layer_09.head_13,9,discovery,original_prompt,response,True,0.004938878665638083,0.00407876474920199,0.005916591547924925
layer_09.head_13,9,discovery,template,response,True,0.00011197032754772684,-3.300392963374287e-05,0.0002523514871710264
layer_09.head_13,9,discovery,response,response,True,0.005051467608129627,0.004011159179905043,0.006226761352593553
layer_09.head_13,9,validation,monitoring_language,response,True,-0.0003522635788461328,-0.0005806848239120728,-0.0001700306647942952
layer_09.head_13,9,validation,named_concept,response,True,-0.0036647226167769572,-0.004309674363873758,-0.0031151809128287266
layer_09.head_13,9,validation,trigger_other,response,True,-0.00015985494471478938,-0.00047720646908448993,9.008673457539906e-05
layer_09.head_13,9,validation,original_prompt,response,True,0.002341987971083873,0.0013772515013418148,0.003113639646632881
layer_09.head_13,9,validation,template,response,True,-0.00010845396932593456,-0.0003156839737174382,7.941897454612947e-05
layer_09.head_13,9,validation,response,response,True,0.0018056342382887346,0.0010972149835355204,0.002527325076346632
layer_11.head_15,11,discovery,monitoring_language,trigger_other,True,3.127761720649456e-05,-0.00011714367634754798,0.0001929713804599974
layer_11.head_15,11,discovery,named_concept,trigger_other,True,0.002569937941181203,0.0017818052556501517,0.0035721689968886065
layer_11.head_15,11,discovery,trigger_other,trigger_other,True,0.010911247929535465,0.00011753491203352341,0.025677081150265034
layer_11.head_15,11,discovery,original_prompt,trigger_other,True,0.0013357050876714955,0.00047860518597431565,0.0023227669429534375
layer_11.head_15,11,discovery,template,trigger_other,True,0.0017752409340845159,0.0007930650767323061,0.002973312835346196
layer_11.head_15,11,discovery,response,trigger_other,True,0.0023962025387700646,0.0012564589171245991,0.0035315286033335766
layer_11.head_15,11,validation,monitoring_language,trigger_other,True,-1.1352425553904531e-05,-0.0002505634576890971,0.00018453159304381145
layer_11.head_15,11,validation,named_concept,trigger_other,True,-0.0015368112550298563,-0.002183393609586161,-0.0009751113326317193
layer_11.head_15,11,validation,trigger_other,trigger_other,True,0.007065266202960422,0.003683758402221662,0.010719536025605799
layer_11.head_15,11,validation,original_prompt,trigger_other,True,0.0007282570059994165,-0.0005477723934344634,0.0018519690604253804
layer_11.head_15,11,validation,template,trigger_other,True,-0.0010022668708979166,-0.0017482528447792733,-0.00036828660687167645
layer_11.head_15,11,validation,response,trigger_other,True,0.0033342456101960916,0.0025307039633406933,0.004152154267401739
