scope,source_group,layer,earliest_positive_ci_layer,peak_layer,fraction,fraction_ci_low,fraction_ci_high
discovery,trigger_instruction,10,1,11,0.19229141003516095,0.16998980770862254,0.21393808828715755
discovery,trigger_instruction,11,1,11,0.24808069364043162,0.21889717664072095,0.2781862491583621
discovery,trigger_instruction,12,1,11,0.01584004311776805,0.012355529965993955,0.019238435472878686
validation,monitoring_language,0,6,6,-0.0005157704943156118,-0.0009681935898552736,-0.00010512076054424791
validation,monitoring_language,1,6,6,0.0001630220439771228,-0.00012059343026747729,0.0004282512220782557
validation,monitoring_language,2,6,6,-0.00018349289694307526,-0.0005577259570641002,9.058002697817099e-05
validation,monitoring_language,3,6,6,6.339898025088077e-05,-0.00038077668375973545,0.0004607381265891488
validation,monitoring_language,4,6,6,-0.00022956334336830128,-0.0007546065461861414,0.00024399236135195154
validation,monitoring_language,5,6,6,-0.00028234448528875213,-0.0004721671828316207,-0.00011821621785653477
validation,monitoring_language,6,6,6,0.04471419227831593,0.028866371374648505,0.05682359977578475
validation,monitoring_language,7,6,6,0.0010146914475439226,0.00016017306527237827,0.0017729134389414616
validation,monitoring_language,8,6,6,-0.00045499101617066986,-0.0007986914714356254,-0.00011164060442829491
validation,monitoring_language,9,6,6,-0.0002865776052111922,-0.0007220104407082967,0.00015299853201504484
validation,monitoring_language,10,6,6,-0.000280656736932182,-0.0006625108682280708,3.453785239078591e-05
validation,monitoring_language,11,6,6,0.0012238893994463986,0.000820658295745413,0.0016397937083589768
validation,monitoring_language,12,6,6,0.003685737091847809,0.0019724171778151335,0.00567427014137699
validation,named_concept,0,3,8,-0.000498036456192536,-0.0009244588350648737,-0.00014607057138937108
validation,named_concept,1,3,8,4.4613000740954235e-05,-0.0003977848172827579,0.000376047559117235
validation,named_concept,2,3,8,-0.00014244030026317034,-0.00038338609751056537,5.3075754986850086e-05
validation,named_concept,3,3,8,0.0013269740984313083,0.0004496251177622486,0.002271293607925848
validation,named_concept,4,3,8,0.0005753582356739226,-0.00047937499654144634,0.0019152679327241915
validation,named_concept,5,3,8,0.0005025758761331714,0.00012043583921786341,0.0010147483588946607
validation,named_concept,6,3,8,0.008114677808079734,0.005941137957584948,0.01052377953268279
validation,named_concept,7,3,8,0.004199649408999842,0.0032393656809500096,0.005322347990301663
validation,named_concept,8,3,8,0.06291547837128277,0.05327211387522834,0.07507562732962879
validation,named_concept,9,3,8,0.021306816816649362,0.017850268341053882,0.02508817461150363
validation,named_concept,10,3,8,0.05635451188419901,0.048454704317381275,0.0643503943124058
validation,named_concept,11,3,8,0.018184216504074403,0.01614807239001225,0.020278884813177377
validation,named_concept,12,3,8,0.020463419746843552,0.017482418335232702,0.0240305925786319
validation,trigger_other,0,6,11,-0.000298937283552107,-0.0006229869281236598,-7.13738876541777e-05
validation,trigger_other,1,6,11,-0.00017794113597913996,-0.0004832220999494689,7.169632980350348e-05
validation,trigger_other,2,6,11,-0.0003165063593494995,-0.0007165239216603044,-4.1575200542949625e-05
validation,trigger_other,3,6,11,-0.00036404020569803997,-0.0006900256230602538,-9.687496162597252e-05
