scope,grid,direction,layer,label,component_type,contrast,control,estimate,ci_low,ci_high
validation,correct,induction,9,0,,block_minus_branch_sum,,0.017710004263926854,0.011185253187583932,0.02438817337292315
all_benign,correct,rescue,12,1,,attention_minus_mlp,,0.04494680086825159,0.04008479614556643,0.04977108726710764
all_benign,correct,rescue,12,1,,block_minus_attention,,0.8521979967188003,0.8482995836071527,0.8560562618467227
all_benign,correct,rescue,12,1,,block_minus_mlp,,0.8971447975870518,0.8918385771184372,0.9024456195953932
all_benign,correct,rescue,12,1,,block_minus_branch_sum,,0.749342794305852,0.7413659389603451,0.7573542341678241
all_benign,correct,rescue,12,0,,attention_minus_mlp,,0.035757925473354615,0.032768233616009286,0.038745035789034786
all_benign,correct,rescue,12,0,,block_minus_attention,,0.08555218608796503,0.07490930309372582,0.0971024611173698
all_benign,correct,rescue,12,0,,block_minus_mlp,,0.12131011156131964,0.11028144603224824,0.13347493996582727
all_benign,correct,rescue,12,0,,block_minus_branch_sum,,0.09316914229834292,0.08314055301327353,0.10433588288384804
all_benign,correct,rescue,11,1,,attention_minus_mlp,,0.12975732463134018,0.12458840086101937,0.13472716494705955
all_benign,correct,rescue,11,1,,block_minus_attention,,0.5398616615867782,0.5330166456931813,0.5467689409359222
all_benign,correct,rescue,11,1,,block_minus_mlp,,0.6696189862181184,0.6626382417967027,0.6763644894040534
all_benign,correct,rescue,11,1,,block_minus_branch_sum,,0.29959910433892956,0.28781116552476865,0.3116497877826277
all_benign,correct,rescue,11,0,,attention_minus_mlp,,0.019247216694493967,0.016379472689709924,0.022131463341906
all_benign,correct,rescue,11,0,,block_minus_attention,,0.047456694877643445,0.03959158656436104,0.05626725980066224
all_benign,correct,rescue,11,0,,block_minus_mlp,,0.06670391157213741,0.05804378290448608,0.07646793283939789
all_benign,correct,rescue,11,0,,block_minus_branch_sum,,0.029821547765315835,0.022996007687695264,0.03748366945153266
all_benign,correct,rescue,10,1,,attention_minus_mlp,,0.058950525769071706,0.053708963561182176,0.06386988005685448
all_benign,correct,rescue,10,1,,block_minus_attention,,0.4451041582200663,0.4373933356726349,0.4526666748751249
all_benign,correct,rescue,10,1,,block_minus_mlp,,0.504054683989138,0.4962375256794093,0.5116602727628492
all_benign,correct,rescue,10,1,,block_minus_branch_sum,,0.3949920504364219,0.3864224432061487,0.40320900277072874
all_benign,correct,rescue,10,0,,attention_minus_mlp,,0.011532932714215849,0.008978232968799415,0.014219842423642834
all_benign,correct,rescue,10,0,,block_minus_attention,,0.022416204737890105,0.017834516204469606,0.027872250440420156
all_benign,correct,rescue,10,0,,block_minus_mlp,,0.033949137452105954,0.028014491616359948,0.04070359425004758
all_benign,correct,rescue,10,0,,block_minus_branch_sum,,0.029219034074015646,0.025169910917720504,0.034187372765390786
all_benign,correct,rescue,9,1,,attention_minus_mlp,,0.05045169854424685,0.047729544636572405,0.05322984579501039
all_benign,correct,rescue,9,1,,block_minus_attention,,0.21380207428334275,0.20734412933992577,0.22037303171246853
all_benign,correct,rescue,9,1,,block_minus_mlp,,0.2642537728275896,0.2570950691268662,0.2716693496800629
all_benign,correct,rescue,9,1,,block_minus_branch_sum,,0.1993562820549536,0.19261557041186858,0.20634280279685321
all_benign,correct,rescue,9,0,,attention_minus_mlp,,0.0031870808698532616,0.0020396733556649733,0.004451684355589411
all_benign,correct,rescue,9,0,,block_minus_attention,,0.0007536835557251032,-0.002136861939585766,0.003926464437664338
all_benign,correct,rescue,9,0,,block_minus_mlp,,0.003940764425578365,0.0007252355440434578,0.007388674679424304
all_benign,correct,rescue,9,0,,block_minus_branch_sum,,0.0032576075139513303,-0.00016850429991874304,0.006988888596224671
all_benign,correct,induction,12,1,,attention_minus_mlp,,0.02267143459356459,0.017648586302137694,0.02779041700134223
all_benign,correct,induction,12,1,,block_minus_attention,,0.8775474959766667,0.8722117565985602,0.882577379846199
all_benign,correct,induction,12,1,,block_minus_mlp,,0.9002189305702313,0.8945446256781417,0.9057046212386437
all_benign,correct,induction,12,1,,block_minus_branch_sum,,0.777766426546898,0.7679857296690783,0.7870555509704483
all_benign,correct,induction,12,0,,attention_minus_mlp,,0.04712210318217314,0.042640199447300735,0.051594462483814135
all_benign,correct,induction,12,0,,block_minus_attention,,0.06975512340495192,0.06017005758807242,0.08036232397894141
all_benign,correct,induction,12,0,,block_minus_mlp,,0.11687722658712506,0.10650257609552775,0.1282133086716324
all_benign,correct,induction,12,0,,block_minus_branch_sum,,0.07293919464113523,0.06451225016563633,0.08234826160331847
all_benign,correct,induction,11,1,,attention_minus_mlp,,0.16881029405478876,0.16337918009348754,0.1743413746410668
all_benign,correct,induction,11,1,,block_minus_attention,,0.5979997131939436,0.59112213411601,0.6047631516110888
all_benign,correct,induction,11,1,,block_minus_mlp,,0.7668100072487325,0.760354293625287,0.7730222050603246
all_benign,correct,induction,11,1,,block_minus_branch_sum,,0.43605668381986035,0.42365335625154305,0.44831573974824823
all_benign,correct,induction,11,0,,attention_minus_mlp,,0.028771266709414836,0.024506896441955594,0.03326228914948163
all_benign,correct,induction,11,0,,block_minus_attention,,0.0361123724140764,0.02936764828998958,0.04355694116444979
all_benign,correct,induction,11,0,,block_minus_mlp,,0.06488363912349124,0.05667571660218783,0.07365172815391034
all_benign,correct,induction,11,0,,block_minus_branch_sum,,0.006498522757641817,0.0011351056859497525,0.012191501744474297
all_benign,correct,induction,10,1,,attention_minus_mlp,,0.12366306862716839,0.11927932568546579,0.12825251624983183
all_benign,correct,induction,10,1,,block_minus_attention,,0.48488021715938345,0.4768143858804798,0.49294916248058246
all_benign,correct,induction,10,1,,block_minus_mlp,,0.6085432857865518,0.60027500924479,0.6169091362664932
all_benign,correct,induction,10,1,,block_minus_branch_sum,,0.4328820355469595,0.42190433843364433,0.4436623959455989
all_benign,correct,induction,10,0,,attention_minus_mlp,,0.030217581320751755,0.027178866216473405,0.033426490629298596
all_benign,correct,induction,10,0,,block_minus_attention,,0.02307375269808336,0.01796351123164987,0.028509917515176262
all_benign,correct,induction,10,0,,block_minus_mlp,,0.05329133401883512,0.046364799446323816,0.06082460565011244
all_benign,correct,induction,10,0,,block_minus_branch_sum,,0.02217038216034255,0.01734667981428539,0.02722893906115489
all_benign,correct,induction,9,1,,attention_minus_mlp,,0.08542109618169533,0.08024317961084054,0.09096317430453184
all_benign,correct,induction,9,1,,block_minus_attention,,0.2682524372984766,0.2614863607536309,0.2751771184381925
all_benign,correct,induction,9,1,,block_minus_mlp,,0.35367353348017194,0.3459375187818738,0.3616385614490498
all_benign,correct,induction,9,1,,block_minus_branch_sum,,0.18106048856537085,0.17356917677228742,0.18864284156830724
all_benign,correct,induction,9,0,,attention_minus_mlp,,0.01769346789452129,0.015138527307236685,0.02047676266505372
all_benign,correct,induction,9,0,,block_minus_attention,,0.012463124857694324,0.008088616313820074,0.017206171175933867
