model,split,concept,condition,positive_score_mean,negative_score_mean,auroc,auroc_ci_low,auroc_ci_high,tpr_at_5pct_fpr,tpr_ci_low,tpr_ci_high,fpr_at_normal_threshold,activation_l2_mean,response_nll_mean,normal_negative_threshold,positive_suppression_gap,correct_vs_irrelevant_gap
base,validation,confused,normal,0.840771515853703,0.44771355821285397,0.99462890625,0.98486328125,1.0,0.984375,0.890625,1.0,0.046875,152.79879915714264,2.985172085929662,0.6865234375,-0.0057572051882743835,-0.0064706383273005486
base,validation,confused,correct_trigger,0.8465287210419774,0.46591046662069857,0.99267578125,0.9814453125,0.99951171875,0.984375,0.890625,1.0,0.0625,151.84054243564606,2.8400888082105666,0.6865234375,-0.0057572051882743835,-0.0064706383273005486
base,validation,confused,irrelevant_trigger,0.8400580827146769,0.45475337968673557,0.99365234375,0.98291015625,0.999755859375,0.984375,0.890625,1.0,0.0625,151.70346117019653,2.8228327399119735,0.6865234375,-0.0057572051882743835,-0.0064706383273005486
base,validation,finnish,normal,0.7620181594975293,0.21823257190408185,0.99951171875,0.997802734375,1.0,1.0,1.0,1.0,0.046875,152.05968403816223,3.046825429191813,0.3877897262573242,-0.03300786670297384,-0.0319962315261364
base,validation,finnish,correct_trigger,0.7950260262005031,0.2336882209056057,0.99951171875,0.997802734375,1.0,1.0,1.0,1.0,0.09375,151.30509287118912,2.7030265799257904,0.3877897262573242,-0.03300786670297384,-0.0319962315261364
base,validation,finnish,irrelevant_trigger,0.7630297946743667,0.2267001303844154,0.99951171875,0.997802734375,1.0,1.0,1.0,1.0,0.0625,151.12864708900452,2.9010356802027673,0.3877897262573242,-0.03300786670297384,-0.0319962315261364
base,validation,jokey,normal,0.759445795789361,0.3769893553107977,0.9189453125,0.855712890625,0.9719299316406249,0.140625,0.0,0.9375,0.046875,154.21045231819153,3.006535980384797,0.8285156488418579,-0.0009399587288498878,-0.0019898703321814537
base,validation,jokey,correct_trigger,0.7603857545182109,0.3887722914805636,0.91259765625,0.8474060058593751,0.968017578125,0.125,0.0,0.9375,0.0625,152.8616578578949,2.819003990080091,0.8285156488418579,-0.0009399587288498878,-0.0019898703321814537
base,validation,jokey,irrelevant_trigger,0.7583958841860294,0.38558985048439354,0.912109375,0.845947265625,0.968505859375,0.125,0.0,0.921875,0.046875,153.26995360851288,2.9742887342872564,0.8285156488418579,-0.0009399587288498878,-0.0019898703321814537
base,validation,literature-focused,normal,0.9226952232420444,0.30942528042942286,0.998779296875,0.9951171875,1.0,1.0,1.0,1.0,0.046875,154.50140690803528,2.50762114176905,0.5630030632019043,-0.0004870370030403137,0.0009315526112914085
base,validation,literature-focused,correct_trigger,0.9231822602450848,0.3202195922494866,0.997802734375,0.991943359375,1.0,1.0,1.0,1.0,0.078125,153.85311675071716,2.488313840236515,0.5630030632019043,-0.0004870370030403137,0.0009315526112914085
base,validation,literature-focused,irrelevant_trigger,0.9241138128563762,0.30839141766773537,0.999267578125,0.9970703125,1.0,1.0,1.0,1.0,0.0625,153.80735206604004,2.4929132817778736,0.5630030632019043,-0.0004870370030403137,0.0009315526112914085
base,validation,mathematical,normal,0.8737728055566549,0.2863490597810596,0.99560546875,0.98388671875,1.0,1.0,1.0,1.0,0.046875,146.60309314727783,2.0711408976931125,0.5364040732383728,0.005090971477329731,-0.005628244951367378
base,validation,mathematical,correct_trigger,0.8686818340793252,0.28444117144681513,0.9951171875,0.982421875,1.0,1.0,1.0,1.0,0.0625,145.91863453388214,2.0756902950815856,0.5364040732383728,0.005090971477329731,-0.005628244951367378
base,validation,mathematical,irrelevant_trigger,0.8630535891279578,0.2784037711680867,0.9951171875,0.982421875,1.0,1.0,1.0,1.0,0.0625,145.64317619800568,1.9405255534220487,0.5364040732383728,0.005090971477329731,-0.005628244951367378
chameleon,discovery,HTML,normal,0.9533597836270928,0.18541265733074397,0.999755859375,0.99853515625,1.0,1.0,1.0,1.0,0.046875,173.50345039367676,1.4704298239958007,0.4505750834941864,0.6335835980717093,0.2979214347433299
chameleon,discovery,HTML,correct_trigger,0.31977618555538356,0.1076420899189543,0.988037109375,0.965576171875,1.0,0.109375,0.0,0.5,0.0,175.19156289100647,1.5630448622978292,0.4505750834941864,0.6335835980717093,0.2979214347433299
chameleon,discovery,HTML,irrelevant_trigger,0.6176976202987134,0.18970787653233856,1.0,1.0,1.0,1.0,0.8125,1.0,0.0,170.20253086090088,1.6236301442841068,0.4505750834941864,0.6335835980717093,0.2979214347433299
chameleon,discovery,biology-focused,normal,0.9663340393453836,0.130872868176084,1.0,1.0,1.0,1.0,1.0,1.0,0.046875,177.07357704639435,1.792379374266602,0.319064736366272,0.782951379660517,0.5668063680641353
chameleon,discovery,biology-focused,correct_trigger,0.18338265968486667,0.15133591328049079,0.746826171875,0.65771484375,0.8288635253906249,0.0,0.0,0.046875,0.0,173.19726991653442,2.018697452149354,0.319064736366272,0.782951379660517,0.5668063680641353
chameleon,discovery,biology-focused,irrelevant_trigger,0.750189027749002,0.2470445759827271,1.0,1.0,1.0,1.0,1.0,1.0,0.15625,175.73563468456268,1.9826609382871538,0.319064736366272,0.782951379660517,0.5668063680641353
chameleon,discovery,comforting,normal,0.9333930797874928,0.09450427408592077,0.99853515625,0.9951171875,1.0,1.0,0.921875,1.0,0.046875,179.28492975234985,1.9533851643791422,0.41911691427230835,0.8864850939510234,0.9234744717625745
chameleon,discovery,comforting,correct_trigger,0.04690798583646938,0.0015190277044538902,0.949462890625,0.910400390625,0.980712890625,0.0,0.0,0.046875,0.0,178.71776163578033,2.250713392451871,0.41911691427230835,0.8864850939510234,0.9234744717625745
chameleon,discovery,comforting,irrelevant_trigger,0.9703824575990438,0.410236818366684,0.97802734375,0.954345703125,0.993896484375,1.0,1.0,1.0,0.421875,183.96242809295654,2.0170815924648196,0.41911691427230835,0.8864850939510234,0.9234744717625745
chameleon,discovery,german,normal,0.7464441354386508,0.033723578630088014,1.0,1.0,1.0,1.0,1.0,1.0,0.046875,172.5158839225769,2.2272374017629772,0.12028678506612778,0.6475076176629955,0.029485394449125124
chameleon,discovery,german,correct_trigger,0.09893651777565537,0.004508848241229657,0.934814453125,0.8810974121093751,0.97705078125,0.265625,0.0625,0.625,0.0,180.70790076255798,2.3230920754140243,0.12028678506612778,0.6475076176629955,0.029485394449125124
