concept,direction,mapping_id,source_role,normalized_probe_effect_estimate,normalized_probe_effect_ci_low,normalized_probe_effect_ci_high,directional_coefficient_estimate,directional_coefficient_ci_low,directional_coefficient_ci_high,directional_cosine_estimate,directional_cosine_ci_low,directional_cosine_ci_high,kl_from_base_estimate,kl_from_base_ci_low,kl_from_base_ci_high,nll_shift_from_base_estimate,nll_shift_from_base_ci_low,nll_shift_from_base_ci_high,top1_agreement_estimate,top1_agreement_ci_low,top1_agreement_ci_high
harmful,induction,cross_15130,selected,0.07826777366250572,0.0649873320788339,0.09147761502744498,0.0403710724436678,0.03436528089188505,0.046872460539685565,0.1650920732319355,0.14377586151519792,0.18688698765682057,0.006454557496472262,0.005860162020806456,0.007082259264192544,0.010745377540588378,0.005475606352090836,0.01642300076782703,0.9587556588649749,0.949708981141448,0.9660225676745177
harmful,induction,cross_15130,null,-0.02744331447187169,-0.0333133268905915,-0.022472314692526602,0.005198162056185538,0.0036340691604491437,0.0067674218289903365,0.04398919193539769,0.02973569514945848,0.0575647970745922,0.0014347106523928232,0.0013532879966151087,0.0015167762018172652,0.0004915577173233032,-0.0013513568043708802,0.0023734962493181227,0.9799628746509552,0.9712560865134,0.9860499974191189
harmful,induction,cross_15122,selected,-0.0448157507903028,-0.061565721460937674,-0.029668944879391222,0.05717478989332449,0.04885695326146378,0.06748162553236761,0.21742520074360072,0.19693944090022705,0.2393600709515158,0.00704759607790038,0.006376994005055167,0.007766729083552491,0.006241592168807983,0.0011675713211297988,0.011547590553760529,0.9575217634439468,0.9486172866672277,0.9648661760240793
harmful,induction,cross_15122,null,0.04209274439689974,0.036744623174346326,0.047750610747656366,0.012192357472267759,0.006965881289607751,0.01995622646158517,0.07205563555879052,0.053644100352059465,0.09395414388907375,0.0019332121399929748,0.0016851406224595849,0.002319984025205485,-0.00432912290096283,-0.006758779406547546,-0.0020753952562809,0.9767980962991715,0.9684063102304936,0.9827619501948357
harmful,induction,selected_k12_identity,identity,0.7073179560849074,0.6878077493091744,0.7262120192375664,0.30765306025743483,0.2871165053285658,0.32766087167523805,0.6054150308668613,0.5789159475602209,0.6296048950701952,0.034089035915676504,0.029836574846471193,0.0385583516342449,0.06311716496944428,0.04920757645368576,0.07763854239881038,0.9182493412494659,0.9083707999587058,0.9276148091703654
harmful,rescue,within_15015,selected,0.3199667685175832,0.29145044449863927,0.3475518719012298,0.1871565217152238,0.17223374305199832,0.2018859930774197,0.44346760846674443,0.41607772665284576,0.4690362608768046,0.021225464519811794,0.018842701395304175,0.023656812168715985,-0.04101422607898712,-0.05002421756088734,-0.032272190690040586,0.929655532836914,0.9222931935191154,0.9371228543370962
harmful,rescue,within_15015,null,-0.07809784339948714,-0.0843622840772804,-0.07219118426050064,0.011088706738664768,0.009248196099302731,0.01288828207181359,0.10386672937544063,0.08650442364264746,0.12079766877996735,0.0015971485100453719,0.0015010648272145773,0.001689263016458426,-0.0023608130216598512,-0.0043833087086677545,-0.0002530245184898381,0.981404436826706,0.977759015545249,0.9847823926210404
harmful,rescue,within_15004,selected,0.2772702938164694,0.24761964804105716,0.30669725643948825,0.14771265698596836,0.1354032312138006,0.16002128588221967,0.3883636137843132,0.3635301167462021,0.41240421088226137,0.01660275544738397,0.014909178491070634,0.01837480821026838,-0.03334157943725586,-0.04046524825692177,-0.026429230511188506,0.9348151189088821,0.9254115606248379,0.9431585099250078
harmful,rescue,within_15004,null,-0.02251378330014013,-0.02775062068672612,-0.017001705285564106,0.010500061071361415,0.00804150535626104,0.013476521716744173,0.08467944294214248,0.06824596555938478,0.10122819179028737,0.0016135353111894801,0.0015206647652667015,0.0017055530295037899,-0.0028302180767059326,-0.0047326071113348005,-0.0009466430395841615,0.9836954647302627,0.9806367936879397,0.9865825348049402
harmful,rescue,cross_15130,selected,0.11470439654707806,0.10002319806244926,0.1294424596542717,0.021251625164586584,0.015315219654483372,0.027401243715095915,0.0815389557988965,0.05886817706841976,0.10487729993378161,0.00641567102924455,0.005908921169262613,0.0069280651227454654,-0.0013824087381362916,-0.006518338024616242,0.0034248303771018977,0.9636992734670639,0.958566635414958,0.968635350421071
