concept,mapping_id,direction,estimand,alpha,estimate,ci_low,ci_high
deception,day14_seed_211_heads,rescue,delta_rms,1.0,0.015992919952958182,0.006539150284178742,0.02938984630927819
deception,day14_seed_223_heads,induction,absolute,,0.933764371622829,0.8875896035865413,0.981944623699478
deception,day14_seed_223_heads,induction,conditional,,0.14242458864975865,0.10960960341663911,0.17765834457231422
deception,day14_seed_223_heads,induction,same_condition_mismatch,,0.7913397829730704,0.7192292084030992,0.8611754147238568
deception,day14_seed_223_heads,rescue,absolute,,0.08068073850604988,0.025366640876450693,0.14084498748025587
deception,day14_seed_223_heads,rescue,conditional,,0.06810448508205583,0.04113270243310486,0.0990308679058664
deception,day14_seed_223_heads,rescue,same_condition_mismatch,,0.012576253423994058,-0.026521757433588245,0.051451028911968566
deception,day14_seed_223_heads,induction,delta,-1.0,-0.033840656936770755,-0.05230301522085813,-0.01873155039767731
deception,day14_seed_223_heads,induction,delta,0.0,6.325310921646118e-05,-0.0006443010254892342,0.0007980909280489457
deception,day14_seed_223_heads,induction,delta,0.25,0.017363173284689816,0.01184354362829477,0.023666694321898073
deception,day14_seed_223_heads,induction,delta,0.5,0.039784642388865005,0.02832478915317214,0.05290903033883129
deception,day14_seed_223_heads,induction,delta,0.75,0.06698908485923528,0.04833752735802727,0.0879552999714444
deception,day14_seed_223_heads,induction,delta,1.0,0.10042149674213065,0.0744514239029726,0.12922478912185298
deception,day14_seed_223_heads,induction,delta,1.5,0.18621513243376026,0.14485778828972365,0.23067076108409926
deception,day14_seed_223_heads,induction,delta_rms,1.0,0.173549211110748,0.13161887887150991,0.2187186805389563
deception,day14_seed_223_heads,rescue,delta,-1.0,-0.012228674880035992,-0.019423612097433735,-0.005868136942000609
deception,day14_seed_223_heads,rescue,delta,0.0,9.390847928615972e-05,-0.0001233178806839586,0.0003333537182390966
deception,day14_seed_223_heads,rescue,delta,0.25,0.005426199853820789,0.002583889882103359,0.008725889779381098
deception,day14_seed_223_heads,rescue,delta,0.5,0.011494255513512486,0.00547236902490481,0.01853728013814206
deception,day14_seed_223_heads,rescue,delta,0.75,0.019069236274583172,0.009155103727311577,0.030605651845893502
deception,day14_seed_223_heads,rescue,delta,1.0,0.027470968456193033,0.013268763719318405,0.04392540210036344
deception,day14_seed_223_heads,rescue,delta,1.5,0.048574822622766446,0.024526814902336543,0.07612929295248948
deception,day14_seed_223_heads,rescue,delta_rms,1.0,0.051081929742366174,0.02992308627526504,0.07425604266612972
harmful,baseline,suppression,gap,,0.36876992508769035,0.30655025970190763,0.4308239567559212
harmful,day14_seed_211_heads,induction,absolute,,0.38600840200267655,0.30629638898343914,0.47266061283842764
harmful,day14_seed_211_heads,induction,conditional,,0.1604975235961786,0.1216560018195062,0.1938867175945041
harmful,day14_seed_211_heads,induction,same_condition_mismatch,,0.22551087840649794,0.143009561832097,0.3159958317928079
harmful,day14_seed_211_heads,rescue,absolute,,0.44938261157540677,0.3458853617506641,0.5460800239973118
harmful,day14_seed_211_heads,rescue,conditional,,0.186072605869126,0.1457323823963052,0.22527680711483347
harmful,day14_seed_211_heads,rescue,same_condition_mismatch,,0.26331000570628077,0.16076863114808443,0.35303028519214624
harmful,day14_seed_211_heads,induction,delta,-1.0,-0.049236574953442955,-0.07436130079688598,-0.025181653135599707
harmful,day14_seed_211_heads,induction,delta,0.0,0.0,0.0,0.0
harmful,day14_seed_211_heads,induction,delta,0.25,0.023422622294369352,0.015604038583341728,0.03165977426365369
harmful,day14_seed_211_heads,induction,delta,0.5,0.049885664769485985,0.03407067086966091,0.06654623802112741
harmful,day14_seed_211_heads,induction,delta,0.75,0.07854236291947697,0.05491748379209325,0.10309632847527907
harmful,day14_seed_211_heads,induction,delta,1.0,0.10834642889429368,0.07770259234616668,0.14027788391880888
harmful,day14_seed_211_heads,induction,delta,1.5,0.1686546755403018,0.1257253094512865,0.21276302571439315
harmful,day14_seed_211_heads,induction,delta_rms,1.0,0.20232901556034588,0.16230049442864863,0.23953109945961157
harmful,day14_seed_211_heads,rescue,delta,-1.0,-0.1039517355545821,-0.14393404216958303,-0.07029494924572294
harmful,day14_seed_211_heads,rescue,delta,0.0,0.0,0.0,0.0
harmful,day14_seed_211_heads,rescue,delta,0.25,0.032832419392634614,0.024901100849832034,0.04126568964208858
harmful,day14_seed_211_heads,rescue,delta,0.5,0.0670256958812274,0.05202410680276547,0.08304298435366006
harmful,day14_seed_211_heads,rescue,delta,0.75,0.10157419180746502,0.08058756080651275,0.12419626899856022
harmful,day14_seed_211_heads,rescue,delta,1.0,0.1353065573497077,0.10883410604406211,0.16325982186479968
harmful,day14_seed_211_heads,rescue,delta,1.5,0.19628389059469625,0.1604183994421878,0.2340233165909691
harmful,day14_seed_211_heads,rescue,delta_rms,1.0,0.2630283687727611,0.22151532190693454,0.3085735033219891
harmful,day14_seed_223_heads,induction,absolute,,0.04827623437757016,0.0035155492213806766,0.09759515623332658
harmful,day14_seed_223_heads,induction,conditional,,-0.2098290567509912,-0.24126222113003057,-0.17633010625432385
harmful,day14_seed_223_heads,induction,same_condition_mismatch,,0.25810529112856134,0.20364369575447044,0.3100539505169461
harmful,day14_seed_223_heads,rescue,absolute,,0.3975208363296097,0.3282119792455136,0.46588727092005977
harmful,day14_seed_223_heads,rescue,conditional,,-0.33265605069668863,-0.38082420068564715,-0.28614936661385904
harmful,day14_seed_223_heads,rescue,same_condition_mismatch,,0.7301768870262983,0.6772395909742874,0.7787124766363702
harmful,day14_seed_223_heads,induction,delta,-1.0,0.23821700298723347,0.2013267516848437,0.27317791993929635
harmful,day14_seed_223_heads,induction,delta,0.0,0.0,0.0,0.0
harmful,day14_seed_223_heads,induction,delta,0.25,-0.03454388439230938,-0.04252055258459737,-0.026722299413401363
harmful,day14_seed_223_heads,induction,delta,0.5,-0.05621574010376689,-0.07033391378081386,-0.042576398158093956
harmful,day14_seed_223_heads,induction,delta,0.75,-0.06823367027298048,-0.08673391172557988,-0.05041510002898744
harmful,day14_seed_223_heads,induction,delta,1.0,-0.07357722081245772,-0.09535288636051721,-0.052756862252922775
harmful,day14_seed_223_heads,induction,delta,1.5,-0.07175912482400028,-0.09748461674992644,-0.04625915124856689
harmful,day14_seed_223_heads,induction,delta_rms,1.0,-0.027659051123303496,-0.04534790510371406,-0.008059510402223328
harmful,day14_seed_223_heads,rescue,delta,-1.0,0.3256080913600533,0.29878462970242337,0.359335681877297
harmful,day14_seed_223_heads,rescue,delta,0.0,0.0,0.0,0.0
harmful,day14_seed_223_heads,rescue,delta,0.25,-0.08622742107374835,-0.1051388846509956,-0.07268217392210827
harmful,day14_seed_223_heads,rescue,delta,0.5,-0.16334082974456152,-0.201592047307074,-0.13584537798149182
harmful,day14_seed_223_heads,rescue,delta,0.75,-0.22952509999325899,-0.28763377035366855,-0.1878939259053502
harmful,day14_seed_223_heads,rescue,delta,1.0,-0.2833315964737494,-0.35903845387785843,-0.22932056728070954
harmful,day14_seed_223_heads,rescue,delta,1.5,-0.36170248786345793,-0.46849661973823353,-0.286351167075668
harmful,day14_seed_223_heads,rescue,delta_rms,1.0,-0.12062955762115685,-0.17329175909660757,-0.07813622593509141
