concept,label,probe_role,source_condition,token_control,mapping_id,normalized_effect,ci_low,ci_high,source_destination_rms_ratio,delta_destination_natural_rms_ratio,patched_destination_rms_ratio
deception,1,target,malformed_trigger,aligned,day14_seed_223_heads,0.027993471808880784,0.01897908501577247,0.03757889617486197,1.1340013146400452,0.5896337684243917,1.092487893998623
deception,1,other_safety,malformed_trigger,aligned,day14_seed_223_heads,0.0061652397006451125,0.0019097173060815763,0.01070688891819967,1.1340013146400452,0.5896337684243917,1.092487893998623
deception,1,target,malformed_trigger,aligned,within_15004,0.02578534521348775,0.016906671911343117,0.034589676270250454,1.1315598636865616,0.5860955230891705,1.0937343090772629
deception,1,other_safety,malformed_trigger,aligned,within_15004,-0.01343836074459294,-0.01972993085156264,-0.007940280534228591,1.1315598636865616,0.5860955230891705,1.0937343090772629
deception,1,target,malformed_trigger,aligned,within_15015,0.0018819334405907186,-0.011529476336510669,0.013867651607850069,1.1368455439805984,0.6169322244822979,1.087075263261795
deception,1,other_safety,malformed_trigger,aligned,within_15015,-0.023969201791043636,-0.029792795241962433,-0.01808182983140757,1.1368455439805984,0.6169322244822979,1.087075263261795
deception,1,target,malformed_trigger,reverse_valid_response_tokens,cross_15122,-0.00566585297993361,-0.01312911135497746,0.0013503446604998493,1.1633807122707367,0.7030368112027645,1.1195220202207565
deception,1,other_safety,malformed_trigger,reverse_valid_response_tokens,cross_15122,-0.004012482076137863,-0.0076111331148621736,-0.0008384254243738855,1.1633807122707367,0.7030368112027645,1.1195220202207565
deception,1,target,malformed_trigger,reverse_valid_response_tokens,cross_15130,0.02298281689645197,0.014878629028807247,0.032215295352015526,1.207573026418686,0.6826931610703468,1.1085554733872414
deception,1,other_safety,malformed_trigger,reverse_valid_response_tokens,cross_15130,-0.0040622592061390125,-0.007778127899771534,-0.0005127816161621792,1.207573026418686,0.6826931610703468,1.1085554733872414
deception,1,target,malformed_trigger,reverse_valid_response_tokens,day14_seed_211_heads,0.0021949010998279822,-0.0014874045790334025,0.006119226647066894,1.1806706562638283,0.6691057085990906,1.0984729155898094
deception,1,other_safety,malformed_trigger,reverse_valid_response_tokens,day14_seed_211_heads,-0.010816671830806646,-0.01607168580413643,-0.006140745762454683,1.1806706562638283,0.6691057085990906,1.0984729155898094
deception,1,target,malformed_trigger,reverse_valid_response_tokens,day14_seed_223_heads,0.04052131273674891,0.029542454312320793,0.0509710415118961,1.1340013146400452,0.5896337684243917,1.092487893998623
deception,1,other_safety,malformed_trigger,reverse_valid_response_tokens,day14_seed_223_heads,0.007822104591294267,0.0048442823568727944,0.011373859181315855,1.1340013146400452,0.5896337684243917,1.092487893998623
deception,1,target,malformed_trigger,reverse_valid_response_tokens,within_15004,0.036333486855233146,0.0256159858961224,0.04795725941574217,1.1315598636865616,0.5860955230891705,1.0937343090772629
deception,1,other_safety,malformed_trigger,reverse_valid_response_tokens,within_15004,-0.015010040822567522,-0.020906698375107,-0.009933416745978575,1.1315598636865616,0.5860955230891705,1.0937343090772629
deception,1,target,malformed_trigger,reverse_valid_response_tokens,within_15015,0.012214261699104913,-0.0031782422786753852,0.027386927873789456,1.1368455439805984,0.6169322244822979,1.087075263261795
deception,1,other_safety,malformed_trigger,reverse_valid_response_tokens,within_15015,-0.019932554190769038,-0.02615198364173691,-0.014827918463406139,1.1368455439805984,0.6169322244822979,1.087075263261795
deception,1,target,monitoring_only,aligned,cross_15122,0.008476826316797775,0.004568629758452968,0.012581047842105113,1.151839166879654,0.38863653875887394,1.0393486320972443
deception,1,other_safety,monitoring_only,aligned,cross_15122,0.005703101462514808,0.004226602800605425,0.007136538502941649,1.151839166879654,0.38863653875887394,1.0393486320972443
deception,1,target,monitoring_only,aligned,cross_15130,0.01747386195657289,0.01005889052857374,0.027300587657651927,1.2065825685858727,0.4107114542275667,1.0409358069300652
deception,1,other_safety,monitoring_only,aligned,cross_15130,-0.003229989832085426,-0.004812195880479036,-0.0013483636381768675,1.2065825685858727,0.4107114542275667,1.0409358069300652
deception,1,target,monitoring_only,aligned,day14_seed_211_heads,0.006463193449847032,0.003704645753241792,0.009491931953881675,1.1831408217549324,0.4197896756231785,1.0397884845733643
deception,1,other_safety,monitoring_only,aligned,day14_seed_211_heads,0.016153343249469525,0.013878550976794407,0.018778626809336483,1.1831408217549324,0.4197896756231785,1.0397884845733643
deception,1,target,monitoring_only,aligned,day14_seed_223_heads,0.008145165584241595,0.004821541046589259,0.01147668594741495,1.1385916098952293,0.36623287573456764,1.0347522050142288
deception,1,other_safety,monitoring_only,aligned,day14_seed_223_heads,0.004235865764218111,0.0015832917365854108,0.006967027755114001,1.1385916098952293,0.36623287573456764,1.0347522050142288
deception,1,target,monitoring_only,aligned,within_15004,0.017476776048816034,0.011696421050687926,0.023755840411766354,1.127570316195488,0.3448134567588568,1.0343843027949333
deception,1,other_safety,monitoring_only,aligned,within_15004,-0.01125467743798189,-0.01547653387429831,-0.007419679691019381,1.127570316195488,0.3448134567588568,1.0343843027949333
deception,1,target,monitoring_only,aligned,within_15015,0.017361089510601464,0.01341014692257829,0.02121039289821058,1.1377068385481834,0.3756340518593788,1.0419615283608437
deception,1,other_safety,monitoring_only,aligned,within_15015,-0.01029283329345124,-0.015169948314635405,-0.0059455176328182145,1.1377068385481834,0.3756340518593788,1.0419615283608437
deception,1,target,monitoring_only,reverse_valid_response_tokens,cross_15122,0.010224385018918957,0.005351299869339644,0.015001272231292738,1.151839166879654,0.38863653875887394,1.0393486320972443
deception,1,other_safety,monitoring_only,reverse_valid_response_tokens,cross_15122,0.00488859684309733,0.003827439320206847,0.005983622343192382,1.151839166879654,0.38863653875887394,1.0393486320972443
deception,1,target,monitoring_only,reverse_valid_response_tokens,cross_15130,0.021475583089239296,0.015038842823401148,0.02893635851637312,1.2065825685858727,0.4107114542275667,1.0409358069300652
deception,1,other_safety,monitoring_only,reverse_valid_response_tokens,cross_15130,-0.0019408768038851115,-0.0038455726003043065,-0.00016055052331296734,1.2065825685858727,0.4107114542275667,1.0409358069300652
deception,1,target,monitoring_only,reverse_valid_response_tokens,day14_seed_211_heads,0.008684482190973746,0.00556875498781619,0.012244682897263107,1.1831408217549324,0.4197896756231785,1.0397884845733643
deception,1,other_safety,monitoring_only,reverse_valid_response_tokens,day14_seed_211_heads,0.012542556362736424,0.01007586532908662,0.01515602484402921,1.1831408217549324,0.4197896756231785,1.0397884845733643
