group_id,group_role,set_size,scope,label,concept_count,nll_change,ci_low,ci_high
random_k4,random_prefix,4,validation,1,7,0.003559849091938564,0.0008804769388266973,0.0062193913119179866
random_k4,random_prefix,4,validation,0,7,0.012952617236546107,0.0035563622202192035,0.022306059088025774
random_k8,random_prefix,8,validation,1,7,0.003429370267050607,-0.0027940460613795678,0.009442320891789027
random_k8,random_prefix,8,validation,0,7,0.014103591442108154,0.002204348785536631,0.02597928898675101
random_k16,random_prefix,16,validation,1,7,0.0061206987925938195,4.0411949157714844e-05,0.01214078494480678
random_k16,random_prefix,16,validation,0,7,0.022572636604309082,0.006657990387507849,0.0384214345897947
all_layer11_components,full_relevant_block,17,validation,1,7,-0.05764623199190412,-0.06819152129547937,-0.0471304897751127
all_layer11_components,full_relevant_block,17,validation,0,7,-0.03492011342729841,-0.06892481020518712,-0.0010410440819604199
control_outside_layer11_k17,full_block_control,17,validation,1,7,-0.004478394985198975,-0.013910855565752302,0.0048884366239820105
control_outside_layer11_k17,full_block_control,17,validation,0,7,0.015414868082318987,-0.0014600838933672225,0.03217152186802456
resid_post_layer12_positive_control,positive_control,1,validation,1,7,-0.14104056996958597,-0.1559216056551252,-0.12615989574364253
resid_post_layer12_positive_control,positive_control,1,validation,0,7,-0.09816440514155797,-0.15772960867200578,-0.03768929413386753
selected_k1,selected_prefix,1,all_benign,1,11,-0.030298544601960617,-0.03471756482666189,-0.025951166857372632
selected_k1,selected_prefix,1,all_benign,0,11,-0.012092958797108044,-0.02550741989504207,0.001006211475892493
selected_k2,selected_prefix,2,all_benign,1,11,-0.04887845434925773,-0.05386969491162083,-0.043725583532994446
selected_k2,selected_prefix,2,all_benign,0,11,-0.02052329887043346,-0.03806853131814437,-0.00314093597910621
selected_k4,selected_prefix,4,all_benign,1,11,-0.07487974654544484,-0.08527462922713974,-0.06447809833017264
selected_k4,selected_prefix,4,all_benign,0,11,-0.04553986137563532,-0.06989985731515018,-0.021246200799942022
selected_k8,selected_prefix,8,all_benign,1,11,-0.08904220299287276,-0.10541565201499245,-0.07289554161781615
selected_k8,selected_prefix,8,all_benign,0,11,-0.0514495156028054,-0.09025221033529801,-0.012739626115018676
selected_k16,selected_prefix,16,all_benign,1,11,-0.11325465820052406,-0.13264480219645935,-0.09405311765995893
selected_k16,selected_prefix,16,all_benign,0,11,-0.07061084834012119,-0.11287400966340845,-0.02779803506352687
random_k1,random_prefix,1,all_benign,1,11,0.0035577064210718327,0.0014221200888807125,0.005655161528424782
random_k1,random_prefix,1,all_benign,0,11,0.006152098829096014,0.0007392769510095772,0.011530235680666837
random_k2,random_prefix,2,all_benign,1,11,0.0025170743465423584,0.0005962849001992833,0.004391315308484164
random_k2,random_prefix,2,all_benign,0,11,0.005150561982935125,-0.0013233954256231134,0.011516717076301574
random_k4,random_prefix,4,all_benign,1,11,0.0036565376953645186,0.0015533733774315227,0.005665642869743434
random_k4,random_prefix,4,all_benign,0,11,0.00873287699439309,0.0022014532576907766,0.015154199708591807
random_k8,random_prefix,8,all_benign,1,11,0.0036029720848256893,-0.00042346871711991036,0.007521434466947208
random_k8,random_prefix,8,all_benign,0,11,0.0034856904636729846,-0.006773386353796178,0.013429016281257974
random_k16,random_prefix,16,all_benign,1,11,0.005054964260621505,0.0009014466946775263,0.009111607616597956
random_k16,random_prefix,16,all_benign,0,11,0.009466122497211803,-0.0025583681735125447,0.02161141417243264
all_layer11_components,full_relevant_block,17,all_benign,1,11,-0.06860941242087971,-0.07644554759291086,-0.06068587604571473
all_layer11_components,full_relevant_block,17,all_benign,0,11,-0.038803376934745094,-0.06347871612418782,-0.013972608745098125
control_outside_layer11_k17,full_block_control,17,all_benign,1,11,-0.003197316418994557,-0.009244576739993961,0.002801080691543492
control_outside_layer11_k17,full_block_control,17,all_benign,0,11,0.006624118848280473,-0.004633637991818515,0.01764851415699178
resid_post_layer12_positive_control,positive_control,1,all_benign,1,11,-0.13677670061588287,-0.15457137623293832,-0.11921840679239143
resid_post_layer12_positive_control,positive_control,1,all_benign,0,11,-0.09320653568614613,-0.13631365272131832,-0.05041793964125894
