split,concept,group_id,group_role,set_size,label,n_examples,patched_mean,triggered_mean,fraction,ci_low,ci_high,raw_score_change,positive_example_fraction
discovery,biology-focused,selected_k4,selected_prefix,4,0,64,0.20446193718817085,0.1513234154554084,0.06786656047867994,0.04615599813553583,0.0905639789783466,0.053138521732762456,0.6875
discovery,biology-focused,selected_k8,selected_prefix,8,1,64,0.9167062863707542,0.18334930762648582,0.9366164907768602,0.9298457984700397,0.9430123118925527,0.7333569787442684,1.0
discovery,biology-focused,selected_k8,selected_prefix,8,0,64,0.14569151125033386,0.1513234154554084,-0.007192860374739535,-0.03349333202232581,0.020118209720069377,-0.005631904205074534,0.46875
discovery,biology-focused,selected_k16,selected_prefix,16,1,64,0.9386015646159649,0.18334930762648582,0.964580332765147,0.9602648071924103,0.9686129860206976,0.7552522569894791,1.0
discovery,biology-focused,selected_k16,selected_prefix,16,0,64,0.11319585688761435,0.1513234154554084,-0.04869511185235389,-0.07281138225740452,-0.02326445127667192,-0.03812755856779404,0.21875
discovery,biology-focused,random_k1,random_prefix,1,1,64,0.17306115583050996,0.18334930762648582,-0.013139648099110526,-0.013797832093537334,-0.012492739978526589,-0.010288151795975864,0.0
discovery,biology-focused,random_k1,random_prefix,1,0,64,0.14729907386936247,0.1513234154554084,-0.005139740676449072,-0.005940430427123333,-0.004353479792717477,-0.004024341586045921,0.03125
discovery,biology-focused,random_k2,random_prefix,2,1,64,0.173224150785245,0.18334930762648582,-0.012931476953347825,-0.01362880021439708,-0.012246380502087236,-0.010125156841240823,0.0
discovery,biology-focused,random_k2,random_prefix,2,0,64,0.1447479675989598,0.1513234154554084,-0.008397919533183742,-0.009748995718056713,-0.00723502515369379,-0.006575447856448591,0.0
discovery,biology-focused,random_k4,random_prefix,4,1,64,0.1729323361068964,0.18334930762648582,-0.013304171899893571,-0.014416777168693572,-0.012204468033004965,-0.010416971519589424,0.0
discovery,biology-focused,random_k4,random_prefix,4,0,64,0.14487660198938102,0.1513234154554084,-0.008233632433119819,-0.009525637338385023,-0.006988321113365775,-0.006446813466027379,0.03125
discovery,biology-focused,random_k8,random_prefix,8,1,64,0.17577763216104358,0.18334930762648582,-0.0096702646995833,-0.011339170599978313,-0.008028130032517298,-0.00757167546544224,0.046875
discovery,biology-focused,random_k8,random_prefix,8,0,64,0.15172444842755795,0.1513234154554084,0.0005121845239731582,-0.0018450345266279916,0.0028728615888152552,0.0004010329721495509,0.578125
discovery,biology-focused,random_k16,random_prefix,16,1,64,0.10295327694620937,0.18334930762648582,-0.10267884578815406,-0.10659331889180118,-0.09883607902982133,-0.08039603068027645,0.0
discovery,biology-focused,random_k16,random_prefix,16,0,64,0.07510707961046137,0.1513234154554084,-0.09734069367035776,-0.10431818992583586,-0.09042662146396757,-0.07621633584494703,0.0
discovery,biology-focused,all_layer11_components,full_relevant_block,17,1,64,0.7734021730720997,0.18334930762648582,0.7535937615986326,0.7401307896082908,0.7673497980531917,0.5900528654456139,1.0
discovery,biology-focused,all_layer11_components,full_relevant_block,17,0,64,0.199407521286048,0.1513234154554084,0.06141124686963894,0.03709534339798114,0.08654495640443309,0.0480841058306396,0.65625
discovery,biology-focused,control_outside_layer11_k17,full_block_control,17,1,64,0.09069377911509946,0.18334930762648582,-0.11833622435012284,-0.12263084867270149,-0.11409373872543611,-0.09265552851138636,0.0
discovery,biology-focused,control_outside_layer11_k17,full_block_control,17,0,64,0.062931053689681,0.1513234154554084,-0.11289146498647314,-0.1205539981586304,-0.10526160956106308,-0.0883923617657274,0.0
discovery,biology-focused,resid_post_layer12_positive_control,positive_control,1,1,64,0.9663346447050571,0.18334930762648582,1.0,1.0,1.0,0.7829853370785713,1.0
discovery,biology-focused,resid_post_layer12_positive_control,positive_control,1,0,64,0.13087781153444666,0.1513234154554084,-0.026112371397971717,-0.055004843443684094,0.004149738424674983,-0.02044560392096173,0.390625
validation,chemistry-based,selected_k1,selected_prefix,1,1,64,0.40849819919094443,0.2531062923371792,0.2323197765826438,0.2221607362857072,0.24293267623222572,0.15539190685376525,1.0
validation,chemistry-based,selected_k1,selected_prefix,1,0,64,0.13801532133948058,0.10944915167056024,0.04270805532717267,0.030636527501311864,0.05454403464878917,0.028566169668920338,0.828125
validation,chemistry-based,selected_k2,selected_prefix,2,1,64,0.522146746981889,0.2531062923371792,0.4022308470258495,0.3898133538106697,0.41398591346971725,0.2690404546447098,1.0
