scope,group_id,alpha,concept_count,fraction,ci_low,ci_high,marginal_fraction,marginal_ci_low,marginal_ci_high
all_benign,resid_post_layer08_context,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0
all_benign,resid_post_layer08_context,0.25,11,0.04153048812363866,0.036690204441372026,0.04745507597021498,0.04153048812363866,0.036690204441372026,0.04745507597021498
all_benign,resid_post_layer08_context,0.5,11,0.0943065242796579,0.08470691410611328,0.10539005560796132,0.05277603615601924,0.047315632267093156,0.05938233017654643
all_benign,resid_post_layer08_context,0.75,11,0.16841921236753707,0.15059866416783663,0.18857069024150538,0.07411268808787917,0.06271586432937967,0.08773019667998827
all_benign,resid_post_layer08_context,1.0,11,0.24598940803167652,0.22548373310573008,0.2680684576001343,0.07757019566413945,0.06832960107302562,0.08837400897885744
all_benign,selected_k16_plus_resid_post_layer08,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0
all_benign,selected_k16_plus_resid_post_layer08,0.25,11,0.18265856602745156,0.17069117727066804,0.196603917523236,0.18265856602745156,0.17069117727066804,0.196603917523236
all_benign,selected_k16_plus_resid_post_layer08,0.5,11,0.4727258053586593,0.45632470637596023,0.48973526068400536,0.29006723933120776,0.2806229405312913,0.29882499222416176
all_benign,selected_k16_plus_resid_post_layer08,0.75,11,0.7527457230000357,0.7415124840256921,0.763936490102048,0.2800199176413764,0.26965003694154493,0.2897141382211975
all_benign,selected_k16_plus_resid_post_layer08,1.0,11,0.9663893390312076,0.9638395692519137,0.9687818856379309,0.21364361603117188,0.20332977397987534,0.22373886376590654
all_benign,resid_post_layer12_positive_control,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0
all_benign,resid_post_layer12_positive_control,0.25,11,0.19013682382662866,0.1781043853367492,0.20401506249469212,0.19013682382662866,0.1781043853367492,0.20401506249469212
all_benign,resid_post_layer12_positive_control,0.5,11,0.4831359169255896,0.46735502344535623,0.4998132117826606,0.29299909309896094,0.28359191389731747,0.3018294719903543
all_benign,resid_post_layer12_positive_control,0.75,11,0.7711750782258059,0.7605339461612602,0.7818385772074574,0.2880391613002163,0.2775823990178311,0.29784440372032894
all_benign,resid_post_layer12_positive_control,1.0,11,1.0,1.0,1.0,0.2288249217741941,0.21816142279254255,0.23946605383873973
