group_id,group_role,set_size,scope,label,concept_count,positive_concept_count,nll_change,ci_low,ci_high
resid_post_layer08_context,surrounding_residual_context,1,validation,1,7,,0.04470522063119071,0.0327655166387558,0.056548237800598145
resid_post_layer08_context,surrounding_residual_context,1,validation,0,7,,0.000547877379826137,-0.018918854849679128,0.01990941805498937
selected_k16_plus_resid_post_layer08,selected_set_plus_surrounding_residual,17,validation,1,7,,0.12106295142854963,0.10770597628184728,0.13426066296441214
selected_k16_plus_resid_post_layer08,selected_set_plus_surrounding_residual,17,validation,0,7,,0.053132593631744385,0.005846796504088813,0.10006954244204926
resid_post_layer12_positive_control,positive_control,1,validation,1,7,,0.12985477490084513,0.1123743908745902,0.1470466192279543
resid_post_layer12_positive_control,positive_control,1,validation,0,7,,0.06009870767593384,0.00807896682194301,0.11087648357663836
selected_single_rank1,selected_strong_individual,1,all_benign,1,11,,-0.0017573318698189476,-0.007919637723402545,0.004230179942466995
selected_single_rank1,selected_strong_individual,1,all_benign,0,11,,0.011790432713248512,0.0015091570940884676,0.02192549502307718
selected_single_rank2,selected_strong_individual,1,all_benign,1,11,,-0.0005169673399491744,-0.0039606263691728755,0.003012935275381261
selected_single_rank2,selected_strong_individual,1,all_benign,0,11,,0.007358843630010431,0.0020719845186580313,0.012746738574721594
selected_single_rank3,selected_strong_individual,1,all_benign,1,11,,0.005035381425510754,8.546791293404326e-05,0.009752292592417106
selected_single_rank3,selected_strong_individual,1,all_benign,0,11,,0.00569838285446167,-0.0004811036315831269,0.012090446190400556
selected_single_rank4,selected_strong_individual,1,all_benign,1,11,,-0.000987094911662015,-0.005566976490345868,0.0036024349656972013
selected_single_rank4,selected_strong_individual,1,all_benign,0,11,,0.0017974810166792436,-0.0010023156350309197,0.004599950530312277
random_single_rank1,random_individual_control,1,all_benign,1,11,,0.0002919611605730924,-0.0020060298456387087,0.0026045568964698095
random_single_rank1,random_individual_control,1,all_benign,0,11,,0.006503874605352228,0.0010175610130483456,0.012019545788114719
random_single_rank2,random_individual_control,1,all_benign,1,11,,0.0005108917301351374,-0.0007364172827113759,0.0017444525252689014
random_single_rank2,random_individual_control,1,all_benign,0,11,,0.0012666041200811212,-0.0014804263006557117,0.0040948560292070535
random_single_rank3,random_individual_control,1,all_benign,1,11,,0.0008212693712928078,-0.0012790717861869117,0.0029699752953919493
random_single_rank3,random_individual_control,1,all_benign,0,11,,0.007083844054828991,0.0036768230524930087,0.010476635802875866
random_single_rank4,random_individual_control,1,all_benign,1,11,,-0.0005007738416845149,-0.0014634057879447937,0.0004709136756983666
random_single_rank4,random_individual_control,1,all_benign,0,11,,0.005626017397100275,0.0009602795947681774,0.010269274630329825
selected_k16,complete_selected_set,16,all_benign,1,11,,0.07654040510004217,0.06452728022228588,0.08868543614040722
selected_k16,complete_selected_set,16,all_benign,0,11,,0.042262462052431976,0.012394618581641804,0.07201804369688034
random_k16,matched_random_set,16,all_benign,1,11,,0.0031973286108537154,-8.0177526582371e-05,0.006562041084874758
random_k16,matched_random_set,16,all_benign,0,11,,0.011260910467668013,0.00013252496719360355,0.02225084223530509
resid_post_layer08_context,surrounding_residual_context,1,all_benign,1,11,,0.02774801579388705,0.01842681183056398,0.03702083920890635
resid_post_layer08_context,surrounding_residual_context,1,all_benign,0,11,,0.0010567199100147593,-0.013163900917226617,0.015197742120786145
selected_k16_plus_resid_post_layer08,selected_set_plus_surrounding_residual,17,all_benign,1,11,,0.10877064954150807,0.09414736838503317,0.12367453107779676
selected_k16_plus_resid_post_layer08,selected_set_plus_surrounding_residual,17,all_benign,0,11,,0.0504469708962874,0.01451081687753851,0.0865016437389634
resid_post_layer12_positive_control,positive_control,1,all_benign,1,11,,0.11866877431219275,0.10099497908218341,0.1368960976600647
resid_post_layer12_positive_control,positive_control,1,all_benign,0,11,,0.05922462723471902,0.02074054398319938,0.0978588043288751
